	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
19																					155	-0.2370662152264285	0.008560725712994299	122	1.0444085369853044											280	0.26777861084716065	0.027264649921595146	68.0	1.85399619466847	152	0.26031780239482843	0.028343880096384784	71.0	2.0124154868433197																					52	-0.36057439710682	0.039265166313198915	33.0	1.2957504883355642	278	-0.3497390615625483	0.049742016871588225	32.0	1.5917445398908232										
20																					36	-0.23687856120139958	0.008614813545682748	122	1.0510072525732952											292	-0.2676410562426791	0.027346881802463578	68.0	1.8595879625675233	208	-0.2596980895256804	0.02873615895115637	71.0	2.0402672855321025																					136	0.3586409378840024	0.04040916889143593	33.0	1.3335025734173855															
21																					267	-0.23550965243951358	0.009018585338347845	122	1.1002674112784372											153	-0.26573096380732586	0.028510538003926337	68.0	1.938716584266991	20	-0.258748055966922	0.02934640279651866	71.0	2.083594598552825																					258	-0.3542614027150369	0.04309991763506072	33.0	1.422297281957004															
22																					168	0.23447440945512704	0.009334928872668723	122	1.1388613224655841											107	-0.2629646188881242	0.030269511671917392	68.0	2.058326793690383	297	-0.25450746451416273	0.03220489019377596	71.0	2.286547203758093																					122	-0.3518395941206465	0.04464852951746042	33.0	1.4734014740761938															
23																					283	-0.2339486739319914	0.009499291695782335	122	1.1589135868854448											164	0.2626278830122086	0.030489714626869342	68.0	2.0733005946271152	131	0.2525615352486843	0.03359269133562488	71.0	2.3850810848293666																					69	0.34949003094838116	0.04619326833983823	33.0	1.5243778552146616															
24																					232	-0.23288775727342864	0.009838748074667898	122	1.2003272651094836											216	0.2625425239300059	0.03054574689274586	68.0	2.0771107887067184	179	-0.24586502990387038	0.03875640522879686	71.0	2.751704771244577																					214	-0.34944636481175945	0.04622237659144833	33.0	1.5253384275177948															
25																					2	0.2328862303297913	0.009839244236483044	122	1.2003877968509313											65	0.2622981851101425	0.030706616107962794	68.0	2.08804989534147	120	-0.23794650575947396	0.0456966898989841	71.0	3.2444649828278713																					288	-0.34885275908905455	0.046619537615347734	33.0	1.5384447413064752															
26																					134	0.23171819866125162	0.010225292246690875	122	1.2474856540962866											291	0.26043977272237245	0.03195358152963967	68.0	2.1728435440154974	228	0.23688808353265184	0.04669751732112181	71.0	3.3155237297996485																					25	0.34852021316913523	0.046843222596238195	33.0	1.5458263456758605															
27																					93	-0.23103472642524198	0.010457309232356474	122	1.2757917263474898											22	-0.25649176987469147	0.034743776357776236	68.0	2.362576792328784	143	-0.2362315004050422	0.047327389541241	71.0	3.360244657428111																					120	-0.34810172440340686	0.047125935202157264	33.0	1.5551558616711898															
28																					211	-0.22936799220099308	0.011042602954603615	122	1.347197560461641											196	0.2538768370260717	0.036701529514769474	68.0	2.495704007004324	98	0.235140352132291	0.04838959314779647	71.0	3.4356611134935493																					65	0.34752268994844626	0.04751935284607605	33.0	1.5681386439205096															
