	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9											71	-0.3130694937945275	0.017730257519208256	57.0	1.0106246785948705						275	-0.23139832217572756	0.04729075465142806	74.0	3.4995158442056766	195	0.1907633843551066	0.008917014361948276	187	1.6674816856843275																					185	0.3563524995011126	0.0280934812057498	38.0	1.0675522858184923	55	-0.39025131538458235	0.036355589814356486	29.0	1.0543121046163382																					168	0.3159554742052851	0.01311828806750165	61.0	0.8002155721176006						242	-0.42099523794485627	0.018350025070105313	31.0	0.5688507771732647
10											112	-0.29942669663791593	0.023652469784305602	57.0	1.3481907777054194											105	0.190718733812633	0.008933309508602359	187	1.6705288781086411																					192	-0.35419106837041214	0.029130248620020144	38.0	1.1069494475607655	93	0.38681022004058907	0.03818345546533736	29.0	1.1073202084947833																					69	0.31561618916821405	0.013222003518653332	61.0	0.8065422146378532						122	0.4176064449455837	0.01941127283849225	31.0	0.6017494579932599
11											158	0.2988492844233747	0.02393610593998476	57.0	1.3643580385791312											127	0.1902917764519883	0.00909046398846612	187	1.6999167658431644																					45	0.3505267430260302	0.030959828265928684	38.0	1.17647347410529	32	0.3816284708395117	0.04107418500946537	29.0	1.1911513652744958																					74	-0.3142683470293094	0.013641028994423722	61.0	0.832102768659847						28	-0.4168984935147244	0.019639267186800296	31.0	0.6088172827908092
12											148	0.2920044046487628	0.027522740935352438	57.0	1.5687962333150889											107	-0.19024128362551324	0.009109210323505547	187	1.7034223304955372																					146	-0.3503827437928384	0.03103361132374387	38.0	1.1792772303022672	70	-0.3757564410301789	0.044558497516311864	29.0	1.292196427973044																					243	0.3082076521672648	0.015669407145825605	61.0	0.9558338358953619						124	-0.41534168498176033	0.020148429180669086	31.0	0.6246013046007417
13											32	-0.2883730458949042	0.029601791987511224	57.0	1.6873021432881399											266	0.18650690508962964	0.010594149806325122	187	1.9811060137827978																					160	0.3481123394106695	0.03221615754706947	38.0	1.22421398678864	248	0.3692069199716944	0.04871793087459915	29.0	1.4128199953633753																					197	-0.3079298903449628	0.015768254241771505	61.0	0.9618635087480618						52	0.4146690678635653	0.020371760403920684	31.0	0.6315245725215413
14											187	0.2863600670486613	0.030809786787266886	57.0	1.7561578468742125											160	-0.1855561392983255	0.0110047592971737	187	2.057889988571482																					18	0.34799456295962794	0.03227849643025453	38.0	1.2265828643496721	162	-0.36821848673608437	0.04937150093348749	29.0	1.4317735270711371																					202	0.30512954303760453	0.016795025053156422	61.0	1.0244965282425418						171	-0.4144294874514854	0.020451801145422648	31.0	0.6340058355081021
15											221	0.2838043970428674	0.03240247924794108	57.0	1.8469413171326416											135	0.1825535524127758	0.012395031476649266	187	2.3178708861334125																					240	-0.34601838508986477	0.03333932822515962	38.0	1.2668944725560656																										229	-0.2997076150241548	0.018946208545055025	61.0	1.1557187212483564						204	0.40960485169389277	0.022119736182168087	31.0	0.6857118216472107
16											230	-0.282598978235574	0.0331771655657333	57.0	1.8910984372467983											112	0.18189391877649166	0.012720363403065864	187	2.3787079563733164																					281	-0.3442220829836588	0.034328218631038576	38.0	1.304472307979466																										101	0.29890379120624755	0.01928429514347851	61.0	1.1763420037521892						94	-0.40458668339786213	0.02397181895042577	31.0	0.7431263874631989
17											133	-0.2823072644253681	0.03336693963623795	57.0	1.9019155592655632											46	-0.18103978609854504	0.013152744957462619	187	2.4595633070455096																					150	-0.34339320198400103	0.03479255232167418	38.0	1.3221169882236188																										37	-0.2987354078632602	0.01935576375459791	61.0	1.1807015890304724						225	0.4037303181188062	0.024300246434162735	31.0	0.7533076394590448
18											161	-0.28197359591645393	0.033585113607941565	57.0	1.9143514756526692											223	-0.18021832089421533	0.013580695389184695	187	2.539590037777538																					84	-0.3413847914262089	0.03593897331733879	38.0	1.3656809860588741																										185	-0.29406574338890673	0.021429536841775385	61.0	1.3072017473482984						102	0.40257268428166526	0.0247500751408266	31.0	0.7672523293656246
