	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15
19	19						40_уклад_жизни-дисциплина	-0.15731567759428125	0.03200029166516075	186.0	5.9520542497199																																																								282_путешествие-домоседство	-0.16363161971367798	0.02262050394507502	194.0	4.388377765344553	253_соблюдение_закона-правонарушение	-0.20888105812687474	0.014668981450733176	136	1.994981477299712					
20	20						100_труд-отдых	0.15722844256364607	0.03209681454178942	186.0	5.970007504772832																																																								274_единство-разрозренность	0.1629458986594396	0.023201505644766102	194.0	4.5010920950846245	159_реальная_жизнь-выдуманная_жизнь	-0.2074421709901323	0.015381832471808925	136	2.091929216166013					
21	21						267_неволя-свобода	-0.1568744571733388	0.03249103211644075	186.0	6.0433319736579785																																																								29_негативные_чувства-духовные_чувства	-0.16286607640765075	0.023269966017947445	194.0	4.514373407481805	206_расслабление-напряжение	-0.2069600028697439	0.015627359511525826	136	2.1253208935675123					
22	22						202_отставание-лидерство	0.15585530803852513	0.033649055774316136	186.0	6.258724374022801																																																								146_разум-чувство	-0.16270723808842485	0.02340671308372605	194.0	4.540902338242853	50_проблема-взаимовыручка	0.20067246384532264	0.019154893324402355	136	2.60506549211872					
23	23						236_умственный_труд-физический_труд	0.15446918933128212	0.035280096783768734	186.0	6.562098001780987																																																								99_благоразумие-безолаберность	0.16226875387608608	0.023787810579041863	194.0	4.614835252334122	77_природные_процессы-военные_процессы	-0.1998014713550726	0.01969412379775411	136	2.678400836494559					
24	24						54_реальность-когнитивные_процессы	-0.15425774554442231	0.03553469105360133	186.0	6.609452535969847																																																								292_экстрим-повседневность	-0.16195442100576446	0.02406428052833004	194.0	4.668470422496028	190_погода-животное	0.1986147646335478	0.0204498762452122	136	2.7811831693488585					
25	25						27_труд-фортуна	-0.15394202084285702	0.03591774016698118	186.0	6.6806996710585																																																								34_духовное_наслаждение-физическое_наслаждение	0.1551725987313309	0.030738618936992236	194.0	5.963292073776494	183_неживая_природа-живая_природа	-0.19652846820159064	0.02183924583489521	136	2.9701374335457484					
26	26						71_изобилие-недостаток	0.15238412213649402	0.03785935082736378	186.0	7.041839253889664																																																								79_многообразие-единство	0.1548691661837676	0.031070888609236368	194.0	6.027752390191857	48_отдаление-приближение	0.1960445123005866	0.02217290054677718	136	3.0155144743616966					
27	27						39_целостность-пустота	-0.1518201314067804	0.03858374687863511	186.0	7.1765769194261315																																																								16_воля-неволя	-0.15464940289423926	0.03131344279095718	194.0	6.074807901445693	230_отступление-наступление	-0.19487734701322634	0.022995664777342432	136	3.1274104097185713					
28	28						31_интеллект-культура	0.15090064997224156	0.03978977679216916	186.0	7.400898483343463																																																								67_неизменность-изменение	0.1538595876116601	0.032198516627259074	194.0	6.246512225688259	1_иерархия-равенство	0.19393553517921636	0.02367855587131679	136	3.2202835984990834					
