	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
13																										276	-0.3367949383451678	0.0013341652744299633	88	0.11740654414983677	28	0.1858006434888174	0.04046350255759715	122.0	4.936547312026852						262	-0.2807731276787951	0.02038126548390227	68.0	1.3859260529053545																					274	0.26256752747662376	0.02285810322362202	75.0	1.7143577417716516	185	0.23821582163496333	0.047049027012561515	70.0	3.293431890879306																					205	0.3494436551622035	0.03400834862349386	37.0	1.2583088990692728
14																										51	-0.33361769524900997	0.0014912089431853225	88	0.1312263870003084	38	0.1856338825626738	0.04064688015209808	122.0	4.958919378555966						213	-0.27697063417486434	0.022222356629577843	68.0	1.5111202508112933																					36	0.26244782591322163	0.02292258151228692	75.0	1.7191936134215189	146	0.2374719475694181	0.04776273930302535	70.0	3.3433917512117746																					197	-0.3450084216108513	0.03650401540475671	37.0	1.3506485699759982
15																										166	-0.3314802193284272	0.0016060794736780346	88	0.14133499368366703	176	-0.18266291738775153	0.04403223517317769	122.0	5.371932691127678						202	-0.2690213175906303	0.026531148273085926	68.0	1.804118082569843																					124	-0.26133976757909033	0.02352682603170153	75.0	1.7645119523776147	90	-0.2374159281198698	0.04781684562292282	70.0	3.3471791936045974																					250	-0.34413853559237534	0.03701057142444377	37.0	1.3693911427044194
16																										273	-0.33098515314653776	0.0016338006955889045	88	0.1437744612118236	191	0.1806631944473845	0.04644072600503107	122.0	5.66576857261379						7	-0.2665489399875116	0.028007211904014218	68.0	1.9044904094729669																					152	0.26042916456495835	0.024033476663498404	75.0	1.8025107497623802	299	-0.23677800564684487	0.04843654208226317	70.0	3.3905579457584216																					213	-0.3426909833960078	0.03786619237907006	37.0	1.4010491180255922
17																										214	-0.330376266185816	0.0016684880973530606	88	0.14682695256706935	259	-0.18064077127604675	0.046468341391010574	122.0	5.66913764970329						178	-0.266272767008031	0.028176306316090676	68.0	1.915988829494166																					31	0.25952851157479606	0.02454367442283139	75.0	1.8407755817123541																										164	0.33666659503698493	0.04160155481136765	37.0	1.5392575280206031
18																										81	-0.32955402567475905	0.0017163861193750342	88	0.151041978505003											77	-0.26582664731370476	0.02845127062417157	68.0	1.9346864024436667																					15	0.2592971945706165	0.024676183136010738	75.0	1.8507137352008054																										118	0.3328512972120134	0.044117669484606284	37.0	1.6323537709304325
19																										201	0.32916030002422	0.0017397587540472804	88	0.15309877035616068											18	-0.2651649266888217	0.028863276645609323	68.0	1.962702811901434																					21	-0.25839350225682484	0.02519969015316381	75.0	1.8899767614872856																										203	0.33281465502527924	0.04414241655323025	37.0	1.6332694124695193
20																										68	0.32825335980461656	0.0017946947049869186	88	0.15793313403884884											56	-0.26193281882790864	0.030948493733502645	68.0	2.10449757387818																					226	-0.25717997677095394	0.025917466518531294	75.0	1.943809988889847																										63	0.3298845313756458	0.04615790257442871	37.0	1.7078423952538622
21																										174	0.32767729284254343	0.0018303971798083294	88	0.16107495182313297											176	0.26119589873433746	0.03144120873997626	68.0	2.1380021943183856																					264	0.2570713987684876	0.025982523607584282	75.0	1.9486892705688212																										278	-0.3292920614585954	0.04657430100022826	37.0	1.7232491370084457
22																										2	-0.32668828248710025	0.001893190203709063	88	0.16660073792639754											142	0.26106392713328713	0.03153013719939484	68.0	2.144049329558849																					107	0.25103013457027124	0.029826638493891198	75.0	2.2369978870418397																										239	-0.32832149341706174	0.04726296150924391	37.0	1.7487295758420247
