	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9	82	-0.6682801208528178	9.936608467275429e-09	58	5.763232911019749e-07	58	0.3569470958260812	0.03010471646438603	37.0	1.113874509182283	4	-0.46330302915970883	0.013029795671341347	28.0	0.3648342787975577	190	-0.9879034605998223	0.0015941749640972802	5.0	0.0079708748204864	234	-0.6015190093120792	0.03853928163422016	12.0	0.4624713796106419						48	-0.558721360304588	0.030388261687499384	15.0	0.4558239253124908	259	0.9959936035592959	0.0040063964407041075	4.0	0.01602558576281643											57	-0.9920157785126869	0.007984221487313148	4.0	0.03193688594925259																				
10	40	-0.6637061063572006	1.35879328014936e-08	58	7.881001024866288e-07	17	-0.3542857347484685	0.03144480760472859	37.0	1.1634578813749579	113	-0.46163614091995364	0.01340394469676306	28.0	0.37531045150936565	205	0.98637163634504	0.0019059417580602168	5.0	0.009529708790301085	271	-0.5883520277072639	0.04418533296372831	12.0	0.5302239955647398						268	0.5579686817222496	0.030660397237619978	15.0	0.45990595856429967	36	0.9954714772388827	0.00452852276111726	4.0	0.01811409104446904											46	0.9909705717665361	0.009029428233463865	4.0	0.03611771293385546																				
11	49	-0.6622064557531421	1.5038548189725624e-08	58	8.722357950040862e-07	52	0.3537539183021535	0.031718374999709115	37.0	1.1735798749892372	182	-0.45769160182778396	0.014325014261193562	28.0	0.40110039931341973	188	-0.9850036706071967	0.002199540562210003	5.0	0.010997702811050017	160	0.5832621768289022	0.04651680309801813	12.0	0.5582016371762175						56	-0.5579521249947881	0.03066640398465027	15.0	0.45999605976975405	228	0.994696332448429	0.0053036675515709675	4.0	0.02121467020628387											193	0.9908174077081767	0.009182592291823277	4.0	0.03673036916729311																				
12	35	-0.659639524146198	1.7866362774073863e-08	58	1.036249040896284e-06	60	-0.3528519532161311	0.03218680704617583	37.0	1.1909118607085059	167	-0.45554271392720386	0.014848486762928725	28.0	0.4157576293620043	119	0.9840237930879869	0.0024182482025055262	5.0	0.01209124101252763											152	-0.5563144061629838	0.03126495812469086	15.0	0.46897437187036284	14	-0.9946193187210582	0.005380681278941757	4.0	0.021522725115767027											223	0.9888873481852116	0.011112651814788377	4.0	0.04445060725915351																				
13	251	-0.6542926883553764	2.544601408825004e-08	58	1.4758688171185022e-06	146	-0.3470857633825092	0.03531715181337954	37.0	1.3067346170950431	240	0.4538001059496186	0.01528453794362568	28.0	0.42796706242151905	204	-0.9830783154788487	0.002635686928207482	5.0	0.01317843464103741											157	0.5545208850364771	0.03193049668744343	15.0	0.4789574503116515	194	0.9944275016586503	0.005572498341349652	4.0	0.022289993365398608											267	-0.9882235865029881	0.011776413497011862	4.0	0.04710565398804745																				
14	117	-0.6440132849206366	4.926052368963885e-08	58	2.8571103739990533e-06	72	-0.34692458201787346	0.0354080993335446	37.0	1.3100996753411502	156	-0.4537648245508136	0.015293474669217598	28.0	0.4282172907380927	54	0.9826867219484196	0.0027275437978072524	5.0	0.013637718989036263											53	0.5543232551084715	0.03200447940591428	15.0	0.48006719108871415	79	0.9927036988162256	0.007296301183774445	4.0	0.02918520473509778											67	0.9876824340451709	0.012317565954829135	4.0	0.04927026381931654																				
15	197	0.6320279997937512	1.0321176550685485e-07	58	5.986282399397581e-06	92	0.34654292768411915	0.0356242120510698	37.0	1.3180958458895824	45	0.45110878972688223	0.01597877588214597	28.0	0.4474057247000872	180	0.9825868011393121	0.002751148735059835	5.0	0.013755743675299175											279	0.5524652343479496	0.03270634611920395	15.0	0.4905951917880592	160	0.991180091035541	0.008819908964458945	4.0	0.03527963585783578											211	0.9858078142215791	0.014192185778420852	4.0	0.056768743113683406																				
16	136	-0.616890192288069	2.513902819636809e-07	58	1.4580636353893493e-05	219	-0.344584510107505	0.0367501592797633	37.0	1.3597558933512421	213	-0.4472640629949699	0.017015589542043123	28.0	0.4764365071772074	46	-0.9811899918511592	0.0030880773304463307	5.0	0.015440386652231654											295	0.5491723438841295	0.03397855647741986	15.0	0.5096783471612979	19	0.9905887792182064	0.009411220781793572	4.0	0.03764488312717429											19	-0.9853508782616094	0.014649121738390614	4.0	0.058596486953562454																				
17	71	0.603862194556595	5.213483704394251e-07	58	3.023820548548666e-05	65	-0.3437301775514864	0.03725033443102187	37.0	1.378262373947809	253	0.4456723424070693	0.01746077648574189	28.0	0.4889017416007729	217	-0.9798492386133902	0.003423371077060146	5.0	0.01711685538530073											11	0.5487714603295452	0.03413593509688551	15.0	0.5120390264532827	151	0.9897026096291137	0.010297390370886284	4.0	0.041189561483545134											218	0.9850132702577414	0.014986729742258564	4.0	0.05994691896903426																				
18	91	0.5980122650368427	7.158618389479162e-07	58	4.151998665897914e-05	61	-0.3432192389673754	0.037552105386287976	37.0	1.3894278992926552	266	0.44439252567845094	0.017825653023281682	28.0	0.4991182846518871	174	0.976612149747824	0.0042784833460406645	5.0	0.021392416730203322											221	0.5483042438033218	0.034320043624378085	15.0	0.5148006543656712	2	-0.9896221294892419	0.010377870510758114	4.0	0.041511482043032455											164	-0.9839638195202415	0.01603618047975852	4.0	0.06414472191903409																				
19	187	0.5966784106026471	7.688563555964479e-07	58	4.4593668624593976e-05	293	0.3414922917735765	0.03858683162790156	37.0	1.4277127702323578	33	-0.442450443108847	0.018391323776708157	28.0	0.5149570657478284	194	-0.9745586068369505	0.004852671183790284	5.0	0.02426335591895142											137	-0.5480450034700132	0.03442251883641085	15.0	0.5163377825461627	121	0.9893026782192414	0.01069732178075855	4.0	0.0427892871230342											132	-0.9838261038826607	0.016173896117339326	4.0	0.0646955844693573																				
20	279	0.5907598155311886	1.0514660003295142e-06	58	6.0985028019111824e-05	273	0.34017224951107644	0.0393932776727304	37.0	1.4575512738910246	36	0.44180511294684993	0.01858252758978103	28.0	0.5203107725138689	78	-0.9741245477525468	0.004977060695653287	5.0	0.024885303478266434											25	-0.5464950581780281	0.03503998886493141	15.0	0.5255998329739712	61	0.9891367128429477	0.010863287157052315	4.0	0.04345314862820926											213	-0.9822517805598925	0.017748219440107516	4.0	0.07099287776043006																				
