	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
93																					143	0.2140577550771495	0.0032636980206862992	187	0.6103115298683379																																								
94																					50	0.2138561531512552	0.003293715538278341	187	0.6159248056580497																																								
95																					138	0.21332651346219225	0.0033737682989844883	187	0.6308946719100993																																								
96																					297	0.2128742634523585	0.003443510184140224	187	0.6439364044342218																																								
97																					179	0.21265795046870953	0.0034773259523654875	187	0.6502599530923462																																								
98																					219	0.21261129717279414	0.0034846583466914415	187	0.6516311108312995																																								
99																					177	0.21231953394589753	0.0035308315304280326	187	0.660265496190042																																								
100																					136	0.21205636899676678	0.0035729516995500676	187	0.6681419678158627																																								
101																					264	0.211733564823865	0.003625236081727614	187	0.6779191472830638																																								
102																					32	-0.2114205384775817	0.0036765948397041413	187	0.6875232350246744																																								
103																					280	-0.21022574131742947	0.0038787139750579174	187	0.7253195133358306																																								
104																					90	-0.2101329792538312	0.003894817347043019	187	0.7283308438970445																																								
105																					249	0.21010891135554985	0.003899005331910526	187	0.7291139970672684																																								
106																					45	0.20640428412112385	0.0045941381461360896	187	0.8591038333274488																																								
107																					218	0.20611214914843487	0.004653425411160265	187	0.8701905518869695																																								
108																					145	0.20597906407536476	0.004680661428436486	187	0.8752836871176228																																								
109																					208	0.20477595726437559	0.0049334505104272645	187	0.9225552454498984																																								
110																					247	-0.20460359998987557	0.0049706509540735355	187	0.9295117284117511																																								
111																					40	-0.2043624639047231	0.005023118393459719	187	0.9393231395769674																																								
112																					210	0.20422850624828504	0.005052479578259975	187	0.9448136811346153																																								
113																					278	0.20399797655384547	0.005103368135355236	187	0.9543298413114292																																								
114																					158	0.2038533665958827	0.0051355242940466185	187	0.9603430429867177																																								
115																					37	0.20185216788949895	0.00559954854320366	187	1.0471155775790844																																								
116																					73	0.20147802853562682	0.0056903513438360705	187	1.064095701297345																																								
117																					212	-0.20113694814926475	0.005774276251447793	187	1.0797896590207374																																								
118																					34	-0.20105108688728776	0.005795576586637102	187	1.083772821701138																																								
119																					291	-0.20086773502999403	0.0058412976403272076	187	1.0923226587411878																																								
120																					134	0.2003967527558342	0.005960224562873901	187	1.1145619932574196																																								
121																					29	0.19973140924782165	0.006131917165564304	187	1.146668509960525																																								
122																					213	0.19942029497858954	0.006213705944282812	187	1.1619630115808857																																								
123																					118	-0.1993969721499568	0.006219876353375993	187	1.1631168780813106																																								
124																					110	-0.19934443737212107	0.006233795275873608	187	1.1657197165883648																																								
125																					65	-0.19888962317238565	0.006355464377540189	187	1.1884718386000153																																								
126																					146	-0.1985148176839849	0.0064573184497302314	187	1.2075185500995533																																								
127																					189	-0.19813395041227871	0.006562309403314991	187	1.2271518584199035																																								
128																					186	-0.19779800808697787	0.0066561772708285845	187	1.2447051496449453																																								
129																					9	-0.19770986384059605	0.006681003693278744	187	1.2493476906431251																																								
130																					283	0.1974700414051504	0.006748969743155623	187	1.2620573419701013																																								
131																					53	0.19693604640536078	0.006902523482631075	187	1.290771891252011																																								
132																					16	0.19644142210541982	0.007047525082515709	187	1.3178871904304377																																								
133																					121	-0.19613487113604228	0.007138747923867142	187	1.3349458617631556																																								
134																					44	-0.195645939161497	0.007286420163505985	187	1.3625605705756192																																								
135																					85	0.19479505556322155	0.007549905528853175	187	1.4118323338955436																																								
136																					221	0.19448735362104913	0.007647254701367197	187	1.4300366291556659																																								
137																					222	-0.19397331092974338	0.007812376122611618	187	1.4609143349283726																																								
138																					289	-0.19393111567325177	0.007826069811054392	187	1.4634750546671713																																								
139																					169	-0.19241990044634003	0.008330782274193572	187	1.557856285274198																																								
140																					99	0.19135305314078938	0.00870427261543521	187	1.6276989790863843																																								
141																					129	-0.1908474344786856	0.008886411822237015	187	1.6617590107583218																																								
142																					201	-0.19034892969640818	0.009069286082960074	187	1.6959564975135337																																								
143																					35	0.18742482229744006	0.010210610399850967	187	1.9093841447721307																																								
144																					237	-0.18738611022726032	0.010226534669301133	187	1.9123619831593117																																								
145																					153	0.18731904162436092	0.010254175350924866	187	1.91753079062295																																								
146																					116	-0.18638077178416065	0.010647833990267344	187	1.9911449561799934																																								
147																					102	-0.18597503708757643	0.010822151445086428	187	2.023742320231162																																								
148																					251	0.18573488305669145	0.010926510962517566	187	2.043257549990785																																								
