	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9						54	0.17794907169247662	0.031057107459829928	147.0	4.565394796594999	135	-0.16694051469267765	0.026359673519317645	177.0	4.665662212919223						74	0.21650249715539172	0.042761528722325484	88.0	3.7630145275646427											207	0.23053062212271785	0.006932290241953338	136	0.942791472905654																																				283	-0.4069546301486421	0.018753679815301624	33.0	0.6188714339049536											43	0.3034406138683893	0.014003050205546678	65.0	0.9101982633605341
10						208	0.17700899723504443	0.03197165739670376	147.0	4.699833637315453	59	-0.16607441506641027	0.02716169292126796	177.0	4.807619647064429						121	0.21625563643083995	0.043004596684552344	88.0	3.7844045082406064											300	0.2303206574896214	0.006985137514931435	136	0.9499787020306751																																				242	0.4066790142086359	0.018841806245111316	33.0	0.6217796060886734											6	-0.2965050737993406	0.016470503167479306	65.0	1.0705827058861548
11						129	-0.17457490982863944	0.03444640626100933	147.0	5.0636217203683715	38	-0.1651202334479577	0.028069360452224724	177.0	4.9682768000437765						169	0.21531724460154614	0.0439390643097512	88.0	3.8666376592581053											115	-0.22787631149972642	0.007627213968610535	136	1.0373010997310328																																				138	0.4061018458580419	0.019027467424650862	33.0	0.6279064250134785											89	0.29502834019958013	0.017041487559229983	65.0	1.1076966913499489
12						135	-0.17445270633354112	0.03457480677436248	147.0	5.082496595831285	22	0.16486893596728958	0.02831267566119201	177.0	5.011343592030986						31	0.21257096004827297	0.04677108646636396	88.0	4.115855609040028											150	0.22745911686530582	0.007741880121442384	136	1.0528956965161642																																				49	-0.401473935301801	0.02057181275550449	33.0	0.6788698209316482											214	-0.2909062597167224	0.018725795044947386	65.0	1.21717667792158
13						197	0.17247599451887557	0.03670861497139872	147.0	5.396166400795612	280	-0.1642156858771235	0.028953619796567215	177.0	5.124790703992397						44	0.2118708960825397	0.04751665555452135	88.0	4.1814656887978785											145	-0.22108990821476468	0.009692179011195196	136	1.3181363455225468																																				219	-0.39701981502566486	0.022154855613815055	33.0	0.7311102352558968											68	-0.28751231486557577	0.0202173536765995	65.0	1.3141279889789674
14						297	0.1718841215046857	0.03736872621564472	147.0	5.493202753699774	60	-0.16377576897866886	0.029392192430301563	177.0	5.202418060163376						262	-0.21174050865921742	0.047656597010045786	88.0	4.193780536884029											20	0.22073360265464032	0.00981306829133013	136	1.3345772876208977																																				295	0.3947758097092928	0.022989754962906176	33.0	0.7586619137759039											201	0.2865991629994046	0.020635519748886923	65.0	1.34130878367765
15						265	0.17123434784152936	0.038104898640833745	147.0	5.601420100202561	216	-0.16121448467406793	0.03205973909031201	177.0	5.674573818985226						153	-0.2112272299029434	0.04821079694639369	88.0	4.242550131282645											163	-0.21960491163193338	0.01020483153971617	136	1.387857089401399																																				106	-0.3890090716379548	0.02525506622060351	33.0	0.8334171852799158											37	0.28391667755558736	0.021906737540775736	65.0	1.4239379401504229
16						200	0.17065849332305105	0.038767487163193684	147.0	5.698820612989471	256	0.16089142396585931	0.032410380257947104	177.0	5.736637305656638						79	0.21035854904854137	0.04916084640108943	88.0	4.32615448329587											216	-0.2177002825787285	0.010897193093710945	136	1.4820182607446886																																				157	-0.3868962690663303	0.02612965443802996	33.0	0.8622785964549887											10	-0.2835895317807476	0.022066225822863765	65.0	1.4343046784861446
17						179	0.16994629106771578	0.03960033376013912	147.0	5.821249062740451	250	0.16063562266746137	0.032690325533565746	177.0	5.7861876194411375						281	0.20963536665031363	0.04996349372378565	88.0	4.396787447693137											233	-0.217464075896526	0.010985871577879698	136	1.494078534591639																																				83	0.38538696981099235	0.026769534734253767	33.0	0.8833946462303743											12	0.28136180200261046	0.02317869999640775	65.0	1.5066154997665036
18						239	0.16985020881356602	0.03971383409214425	147.0	5.837933611545204	131	-0.16003704506274055	0.03335343238089913	177.0	5.903557531419145																					47	-0.21637386270658795	0.011403434438243749	136	1.5508670836011498																																				270	-0.38281143592263595	0.027891119713075927	33.0	0.9204069505315056											158	-0.2789851275136695	0.024417589267121658	65.0	1.5871433023629078
19						155	-0.16949708782384418	0.04013331968331911	147.0	5.899597993447909	112	-0.15912843546307232	0.03438178062776376	177.0	6.0855751711141854																					2	0.21240797372901424	0.013042213392719507	136	1.7737410214098528																																				131	0.38158805494296105	0.02843720203856088	33.0	0.938427667272509											204	-0.27682395962269457	0.02559231054978211	65.0	1.6635001857358371
20						187	-0.16866766968801808	0.04113326227855511	147.0	6.046589554947602	118	-0.1585301947851514	0.035073420660500954	177.0	6.207995456908669																					164	-0.21112021506787956	0.013616913458594674	136	1.8519002303688756																																				91	-0.38033106808365025	0.0290073703590707	33.0	0.9572432218493332											148	0.27577462093407534	0.02617967729592066	65.0	1.701679024234843
21						20	0.16714254149739508	0.04302647926807363	147.0	6.324892452406824	159	-0.15712150254815993	0.03674867828864697	177.0	6.504516057090513																					111	-0.21059554833609279	0.013857329462752524	136	1.8845968069343433																																				70	-0.3802472194809639	0.029045734285015248	33.0	0.9585092314055031											283	0.27525829172274063	0.026472840845271458	65.0	1.7207346549426448
22						58	-0.16647701746546906	0.043875180127235194	147.0	6.449651478703574	275	-0.1565821261644389	0.03740776978582516	177.0	6.621175252091054																					117	0.21047235908717934	0.013914312252411975	136	1.8923464663280285																																				142	0.3791239368318913	0.029563692801611106	33.0	0.9756018624531665											92	-0.27165866313697173	0.028594533309857836	65.0	1.8586446651407593
