	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9						137	0.1661012063868512	0.006322498729507938	269.0	1.7007521582376353	35	0.18547879314992466	0.0012982920275156126	298	0.38689102419965254																																								
10						229	-0.16252137653932344	0.007564456376925421	269.0	2.0348387653929385	112	0.18354982464091113	0.0014609828827077086	298	0.43537289904689713																																								
11						155	-0.1603714151557808	0.008410869119953307	269.0	2.2625237932674396	85	-0.18290616325623657	0.0015192980665267072	298	0.45275082382495874																																								
12						237	-0.1596788612293068	0.008700917523146319	269.0	2.34054681372636	241	0.18115831817436462	0.0016885771023340134	298	0.5031959764955359																																								
13						22	0.1561206639400765	0.010335776897319788	269.0	2.780323985379023	210	-0.18014715556695973	0.001794221667953596	298	0.5346780570501716																																								
14						96	-0.15601602272770768	0.010387719223356701	269.0	2.7942964710829528	292	-0.17882715600242266	0.001941226153607668	298	0.578485393775085																																								
15						200	0.15209318008247452	0.012509247351889755	269.0	3.364987537658344	180	-0.1786560581841025	0.001961065841206916	298	0.584397620679661																																								
16						297	0.1517008323573853	0.01274109980556539	269.0	3.42735584769709	38	0.177873203474271	0.002054225513414275	298	0.612159202997454																																								
17						192	0.1512028639688856	0.013040807784729366	269.0	3.5079772940921994	154	0.1775982333095892	0.002087893813885283	298	0.6221923565378144																																								
18						5	-0.14966297248390603	0.014007198517365033	269.0	3.7679364011711938	216	0.1774091959563315	0.0021113314809502425	298	0.6291767813231722																																								
19						46	0.14811119227885552	0.015044077018522289	269.0	4.046856717982496	158	-0.17633588770932337	0.0022490160533681185	298	0.6702067839036993																																								
20						215	-0.14802738071589064	0.01510194425602532	269.0	4.062423004870811	254	-0.17597239076268295	0.00229746966198722	298	0.6846459592721916																																								
21						77	-0.14716014975560113	0.01571225698480286	269.0	4.22659712891197	155	0.1758840629495912	0.002309386401807792	298	0.688197147738722																																								
22						239	0.14679839381634963	0.01597315195280347	269.0	4.296777875304134	41	-0.1748026903272653	0.0024599157316576472	298	0.7330548880339789																																								
23						33	0.146521787739231	0.016175185058607856	269.0	4.351124780765513	4	-0.17442243694972986	0.002514935094669554	298	0.7494506582115271																																								
24						7	0.14442425843280934	0.017781232307914768	269.0	4.783151490829073	22	-0.1730818566180972	0.0027179570616721847	298	0.809951204378311																																								
25						36	-0.14441298440081413	0.017790227181366323	269.0	4.785571111787541	2	-0.17240680506728875	0.002825730280501648	298	0.8420676235894912																																								
26						85	0.14249306222664163	0.019381024697843405	269.0	5.213495643719876	105	0.17140342990225635	0.002993105473717362	298	0.8919454311677739																																								
27						84	0.14155396986517493	0.02020316997024924	269.0	5.434652721997045	293	-0.17056292993652625	0.003140182500496739	298	0.9357743851480282																																								
28						16	0.13917776489231082	0.022419875002380532	269.0	6.030946375640363	171	-0.16857036438939432	0.003515390804408937	298	1.0475864597138633																																								
29						271	0.13892546001463751	0.022667152684924835	269.0	6.09746407224478	109	-0.16803793207591697	0.003622296767698205	298	1.0794444367740652																																								
30						19	-0.13852995285536265	0.02305952181578266	269.0	6.2030113684455355	125	-0.1676978569366068	0.003692110430070349	298	1.1002489081609639																																								
31						4	0.13810939270346828	0.023483166052926805	269.0	6.3169716682373105	31	0.1670175371582574	0.0038354371513114353	298	1.1429602710908078																																								
32						126	-0.1375455328676008	0.024061689097006476	269.0	6.472594367094742	59	0.1660795310993548	0.004041300828555453	298	1.2043076469095249																																								
33						62	0.13682157251853078	0.024822461408699877	269.0	6.677242118940267	294	0.16595102728460656	0.004070267534343982	298	1.2129397252345067																																								
34						21	0.13537249799880102	0.026407618208149523	269.0	7.103649297992222	100	-0.16593927490177063	0.004072926034438268	298	1.213731958262604																																								
35						178	0.13502785511591003	0.02679717988552901	269.0	7.208441389207303	152	0.16489797975338122	0.004314795036186639	298	1.2858089207836185																																								
36						67	-0.134872916376136	0.02697391401575358	269.0	7.255982870237713	265	-0.1640917110214169	0.004510891491519589	298	1.3442456644728376																																								
37						38	-0.13417053311216234	0.027787705820768407	269.0	7.4748928657867015	220	-0.1633306441309344	0.00470332665821702	298	1.4015913441486718																																								
38						20	0.1332684525391642	0.028863675654480704	269.0	7.764328751055309	134	-0.16275987535749917	0.004852463285968404	298	1.4460340592185843																																								
39						191	-0.13291680938680206	0.02929266155496231	269.0	7.879725958284862	153	-0.16273440110513177	0.004859217624417388	298	1.4480468520763816																																								
40						269	0.13197261062056448	0.030471613335606447	269.0	8.196863987278133	111	0.16129883202086767	0.005253801332207534	298	1.5656327969978452																																								
41						81	-0.12959966201849085	0.03361479162153614	269.0	9.042378946193221	47	0.160475071366447	0.005493008744905503	298	1.63691660598184																																								
42						186	-0.1292549128649692	0.03409362570960056	269.0	9.171185315882552	282	-0.16046785526095794	0.005495146714157717	298	1.6375537208189996																																								
