,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
1143,того,того,PRON,obl,"[1111, 1105]","[1137, 1139, 1140, 1156]",Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
1147,",",",",PUNCT,punct,"[1156, 1143, 1111, 1105]",[],
1149,что,что,SCONJ,mark,"[1156, 1143, 1111, 1105]",[],
1153,он,он,PRON,nsubj,"[1156, 1143, 1111, 1105]",[],Case=Nom|Gender=Masc|Number=Sing|Person=Third
1156,молод,молодой,ADJ,acl,"[1143, 1111, 1105]","[1147, 1149, 1153, 1163]",Degree=Pos|Gender=Masc|Number=Sing|StyleVariant=Short
1161,",",",",PUNCT,punct,"[1163, 1156, 1143, 1111, 1105]",[],
1163,горяч,горячий,ADJ,conj,"[1156, 1143, 1111, 1105]",[1161],Degree=Pos|Gender=Masc|Number=Sing|StyleVariant=Short
1168,",",",",PUNCT,punct,"[1170, 1105]",[],
1170,неразумен,неразумный,ADJ,conj,[1105],[1168],Degree=Pos|Gender=Masc|Number=Sing|StyleVariant=Short
1179,.,.,PUNCT,punct,[1105],[],
1181,Часто,часто,ADV,advmod,[1200],[],Degree=Pos
1187,молодые,молодой,ADJ,amod,"[1195, 1200]",[],Case=Nom|Degree=Pos|Number=Plur
1195,люди,человек,NOUN,nsubj,[1200],[1187],Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur
1200,совершают,совершать,VERB,ROOT,[],"[1181, 1195, 1210, 1213, 1214, 1217, 1242, 1276]",Aspect=Imp|Mood=Ind|Number=Plur|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
1210,что,что,PRON,obj,[1200],[],Case=Acc
1213,-,-,PRON,obj,[1200],[],Case=Acc
1214,то,то,PRON,obj,[1200],[],Case=Acc
1217,плохое,плохой,ADJ,xcomp,[1200],[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Neut|Number=Sing
1223,",",",",PUNCT,punct,"[1242, 1200]",[],
1225,потому,потому,ADV,mark,"[1242, 1200]",[1232],Degree=Pos
1232,что,что,SCONJ,fixed,"[1225, 1242, 1200]",[],
1236,им,они,PRON,iobj,"[1242, 1200]",[],Case=Dat|Number=Plur|Person=Third
1239,не,не,PART,advmod,"[1242, 1200]",[],Polarity=Neg
1242,достает,доставать,VERB,advcl,[1200],"[1223, 1225, 1236, 1239, 1250]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
1250,опыта,опыт,NOUN,obj,"[1242, 1200]",[1270],Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
1255,",",",",PUNCT,punct,"[1270, 1250, 1242, 1200]",[],
1257,определенных,определённый,ADJ,amod,"[1270, 1250, 1242, 1200]",[],Case=Gen|Degree=Pos|Number=Plur
1270,знаний,знание,NOUN,conj,"[1250, 1242, 1200]","[1255, 1257]",Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur
1276,.,.,PUNCT,punct,[1200],[],
1278,В,в,ADP,case,"[1285, 1308]",[],
1280,моем,мой,DET,det,"[1285, 1308]",[],Case=Loc|Gender=Neut|Number=Sing
1285,представлении,представление,NOUN,obl,[1308],"[1278, 1280]",Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing
1299,старушка,старушка,NOUN,nsubj,[1308],[],Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
1308,является,являться,VERB,ROOT,[],"[1285, 1299, 1317, 1324, 1325, 1400, 1458]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
1317,ангелом,ангел,NOUN,xcomp,[1308],[],Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing
1324,-,-,NOUN,xcomp,[1308],[],Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing
1325,хранителем,хранитель,NOUN,xcomp,[1308],[],Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing
1335,",",",",PUNCT,punct,"[1400, 1308]",[],
1337,потому,потому,ADV,mark,"[1400, 1308]","[1344, 1347]",Degree=Pos
1344,что,что,SCONJ,fixed,"[1337, 1400, 1308]",[],
1347,",",",",PUNCT,punct,"[1337, 1400, 1308]",[],
1349,если,если,SCONJ,mark,"[1354, 1400, 1308]",[],
