,FPI All / 1045,FPI ж / 696,FPI м / 343,FPI н / 6,FPI повествование / 553,FPI описание / 325,FPI официальный / 167,BIG5 All / 536,BIG5 ж / 338,BIG5 м / 198,BIG5 описание / 261,BIG5 повествование / 203,BIG5 рассуждение / 72
потемки_NOUN,1,0,1,0,0,1,0,0,0,0,0,0,0
потащиться_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
ценник_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
цеплять_VERB,1,1,0,0,1,0,0,2,2,0,0,2,0
потаскала_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
удручить_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
трупик_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
удочка_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
речку!!!!!давай_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
решимость_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
"решили,.что_ADV",1,0,1,0,1,0,0,0,0,0,0,0,0
реши_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
сострадание_NOUN,1,0,1,0,0,1,0,1,1,0,1,0,0
состроить_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
сосулька_NOUN,1,0,1,0,1,0,0,1,1,0,0,1,0
решай_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
сотка_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
речной_ADJ,1,1,0,0,1,0,0,0,0,0,0,0,0
соточку_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
сочувствие_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
сохнуть_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
сохр.дружеские_ADJ,1,1,0,0,1,0,0,0,0,0,0,0,0
сохранность_NOUN,1,0,0,1,0,0,1,0,0,0,0,0,0
соц_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
социализм_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
социалистический_ADJ,1,1,0,0,0,1,0,0,0,0,0,0,0
социология_NOUN,1,0,1,0,1,0,0,1,0,1,0,1,0
соцсетях_NOUN,1,1,0,0,1,0,0,1,1,0,0,1,0
сочах_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
состою_ADJ,1,1,0,0,0,0,1,0,0,0,0,0,0
составляющей_ADJ,1,1,0,0,0,1,0,0,0,0,0,0,0
составитель_NOUN,1,1,0,0,0,0,1,0,0,0,0,0,0
состав_NOUN,1,0,1,0,1,0,0,3,2,1,0,3,0
сорви_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
соревновательный_ADJ,1,0,1,0,1,0,0,0,0,0,0,0,0
сос_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
ринг_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
сосать_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
сосетской_ADJ,1,1,0,0,0,1,0,0,0,0,0,0,0
сослаться_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
риелтор_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
ридер_PROPN,1,0,1,0,0,0,1,0,0,0,0,0,0
ржём=_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
сослуживец_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
ржем_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
сосна_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
сосредотачиваться_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
ржачная_ADJ,1,1,0,0,1,0,0,0,0,0,0,0,0
сосредоточенный_ADJ,1,1,0,0,0,1,0,0,0,0,0,0,0
ржак_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
рещили_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
соссию_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
сочинение_NOUN,1,0,1,0,0,1,0,1,1,0,0,1,0
сочувствовать_VERB,1,1,0,0,0,1,0,1,1,0,1,0,0
риск_NOUN,1,1,0,0,0,0,1,2,0,2,1,1,0
рез_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
резче_ADV,1,1,0,0,1,0,0,0,0,0,0,0,0
результативный_ADJ,1,0,1,0,0,0,1,0,0,0,0,0,0
спецгруппу_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
специализироваться_VERB,1,1,0,0,0,0,1,0,0,0,0,0,0
резиновый_ADJ,1,0,1,0,0,0,1,0,0,0,0,0,0
резвячка_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
резвиться_VERB,1,1,0,0,0,1,0,1,1,0,1,0,0
резаться_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
специалистом=_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
режских_ADJ,1,0,1,0,0,0,1,0,0,0,0,0,0
спадения_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
режисера_NOUN,1,0,1,0,0,0,1,0,0,0,0,0,0
специальностями_NOUN,1,0,1,0,0,0,1,0,0,0,0,0,0
редька_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
спиваемся_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
спид_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
спин_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
спинка_NOUN,1,0,0,1,1,0,0,0,0,0,0,0,0
редакция_NOUN,1,1,0,0,0,0,1,0,0,0,0,0,0
редактирование_NOUN,1,1,0,0,0,0,1,0,0,0,0,0,0
спереди_ADV,1,0,1,0,0,1,0,1,0,1,1,0,0
спбгу_PROPN,1,0,1,0,0,0,1,0,0,0,0,0,0
рекламист_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
рекламный_ADJ,1,0,1,0,0,0,1,0,0,0,0,0,0
спалить_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
спартак_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
респектабельный_ADJ,1,1,0,0,0,0,1,0,0,0,0,0,0
спас_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
репродукция_NOUN,1,1,0,0,0,1,0,1,1,0,1,0,0
спасатель_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
репетиторство_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
спасательный_ADJ,1,0,1,0,1,0,0,0,0,0,0,0,0
спасаться_VERB,1,1,0,0,1,0,0,1,1,0,1,0,0
репетирорам_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
репетировать_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
репертуар_NOUN,1,1,0,0,1,0,0,1,1,0,0,1,0
спасибо_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
ремарк_PROPN,1,0,1,0,1,0,0,0,0,0,0,0,0
рекорд_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
спасительница_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
реконструкция_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
спастись_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
спасть_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
рис-_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
рискни_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
удовольствие:-_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
розыгрыш_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
создаться_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
созерцать_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
сойти_VERB,1,0,1,0,0,1,0,2,1,1,1,1,0
роллер_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
сойтись_VERB,1,1,0,0,1,0,0,1,1,0,0,1,0
сойтов_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
роковой_ADJ,1,1,0,0,0,1,0,0,0,0,0,0,0
сок_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
соколовского_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
сокровенный_ADJ,1,0,1,0,0,1,0,0,0,0,0,0,0
рождаться_VERB,1,1,0,0,0,1,0,1,1,0,0,1,0
розы_PROPN,1,1,0,0,0,1,0,0,0,0,0,0,0
розу_PROPN,1,1,0,0,0,1,0,0,0,0,0,0,0
розочка_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
сокровище_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
сокрушительный_ADJ,1,1,0,0,0,0,1,0,0,0,0,0,0
роза_PROPN,1,1,0,0,0,1,0,0,0,0,0,0,0
рождество_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
рожденье_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
солидный_ADJ,1,0,1,0,0,0,1,0,0,0,0,0,0
ромашка_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
создатель_NOUN,1,0,1,0,0,1,0,0,0,0,0,0,0
ромка_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
создавалось_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
содеять_VERB,1,1,0,0,0,1,0,2,2,0,1,1,0
соединение_NOUN,1,0,1,0,0,0,1,0,0,0,0,0,0
рубашка_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
ру_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
ру_INTJ,1,1,0,0,1,0,0,0,0,0,0,0,0
соединить_VERB,1,1,0,0,0,1,0,1,1,0,1,0,0
соенко_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
роственников_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
сожалея_VERB,1,0,1,0,0,1,0,0,0,0,0,0,0
сожрать_VERB,1,1,0,0,0,1,0,1,0,1,1,0,0
россошь_PROPN,1,1,0,0,1,0,0,1,1,0,0,1,0
созванивались_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
созвонимся_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
россии(в_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
роснефть_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
рослый_ADJ,1,0,1,0,0,1,0,0,0,0,0,0,0
рос_NOUN,1,0,1,0,0,0,1,0,0,0,0,0,0
ромой_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
ромке_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
солнце:-_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
роездка_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
рискну_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
сопли_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
рог_NOUN,1,0,1,0,0,0,1,0,0,0,0,0,0
сообщю_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
ровесники_ADJ,1,1,0,0,0,1,0,0,0,0,0,0,0
робин_PROPN,1,0,1,0,1,0,0,0,0,0,0,0,0
рифма_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
рифераты_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
риф_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
ритулей_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
соперник_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
сопли_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
рое_ADV,1,1,0,0,0,1,0,0,0,0,0,0,0
ритка_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
сопор_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
сопоставление_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
сопровождать_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
сопутствовать_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
рисковый_ADJ,1,1,0,0,0,1,0,0,0,0,0,0,0
рискнуть_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
сорвать_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
сорваться_VERB,1,0,1,0,1,0,0,3,3,0,1,2,0
рогачеву_PROPN,1,0,1,0,1,0,0,0,0,0,0,0,0
родик_PROPN,1,0,1,0,1,0,0,0,0,0,0,0,0
сообщи_ADJ,1,1,0,0,1,0,0,0,0,0,0,0,0
сообщество_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
родство_NOUN,1,0,1,0,0,1,0,0,0,0,0,0,0
солнце_PROPN,1,1,0,0,1,0,0,1,1,0,1,0,0
солнышко!:=_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
соль_NOUN,1,1,0,0,1,0,0,1,0,1,0,1,0
родом_ADV,1,0,1,0,0,0,1,0,0,0,0,0,0
солярий_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
солёный_ADJ,1,1,0,0,1,0,0,0,0,0,0,0,0
сомик_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
сомной_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
соне_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
роднуль_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
соней_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
родной!=_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
родич_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
сонь_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
родителям_PROPN,1,0,1,0,1,0,0,0,0,0,0,0,0
соображение_NOUN,1,0,1,0,0,1,0,0,0,0,0,0,0
сообразительность_NOUN,1,1,0,0,0,0,1,0,0,0,0,0,0
родионов_PROPN,1,1,0,0,0,0,1,0,0,0,0,0,0
региональный_ADJ,1,1,0,0,0,0,1,0,0,0,0,0,0
спирт_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
революционер_NOUN,1,0,1,0,0,1,0,0,0,0,0,0,0
старомодный_ADJ,1,1,0,0,1,0,0,1,0,1,1,0,0
расслабоне_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
старательный_ADJ,1,1,0,0,0,0,1,0,0,0,0,0,0
расскрывать_VERB,1,0,1,0,0,1,0,0,0,0,0,0,0
рассказываться_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
старе_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
старение_NOUN,1,1,0,0,0,1,0,1,0,1,1,0,0
рассказик_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
рассказать-_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
старик_PROPN,1,1,0,0,0,1,0,0,0,0,0,0,0
старости_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
распрощаться_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
старуха-_NUM,1,1,0,0,0,1,0,0,0,0,0,0,0
расскажи_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
старуха_PROPN,1,1,0,0,0,1,0,0,0,0,0,0,0
старухе_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
старушка-_ADJ,1,1,0,0,0,1,0,0,0,0,0,0,0
расскажи:-_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
рассеять_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
рассеянность_NOUN,1,1,0,0,0,0,1,0,0,0,0,0,0
старушка-_ADV,1,1,0,0,0,1,0,0,0,0,0,0,0
старательность_NOUN,1,1,0,0,0,0,1,0,0,0,0,0,0
расслоилась_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
старание_NOUN,1,1,0,0,0,1,0,1,1,0,0,1,0
стар_PROPN,1,1,0,0,0,1,0,0,0,0,0,0,0
расстреливать_VERB,1,0,1,0,0,1,0,0,0,0,0,0,0
ссыпаю_ADJ,1,1,0,0,1,0,0,0,0,0,0,0,0
ссыхаться_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
стабильно_ADV,1,1,0,0,1,0,0,0,0,0,0,0,0
ставка_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
расстраивайтесь_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
стаде_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
стадный_ADJ,1,1,0,0,1,0,0,0,0,0,0,0,0
расстались:-_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
стадо_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
стажировалась_VERB,1,1,0,0,0,0,1,0,0,0,0,0,0
стажироваться_VERB,1,1,0,0,0,0,1,0,0,0,0,0,0
стажировка_NOUN,1,1,0,0,0,0,1,0,0,0,0,0,0
стакан_NOUN,1,1,0,0,1,0,0,2,2,0,2,0,0
стала:-_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
стальной_ADJ,1,0,1,0,1,0,0,0,0,0,0,0,0
расспрашивать_VERB,1,1,0,0,1,0,0,1,0,1,0,1,0
станислав_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
станок_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
старушка-_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
распространяться_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
спиртного_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
степ_PROPN,1,1,0,0,1,0,0,1,0,1,0,1,0
расписать_VERB,1,1,0,0,1,0,0,1,0,1,0,1,0
распечатывать_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
распасться_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
стелька_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
стемнеть_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
распад_NOUN,1,1,0,0,0,0,1,0,0,0,0,0,0
стенка_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
раскрыться_VERB,1,1,0,0,1,0,0,1,1,0,1,0,0
стенкин_PROPN,1,0,1,0,0,0,1,0,0,0,0,0,0
раскрываться_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
распространенный_ADJ,1,0,1,0,1,0,0,0,0,0,0,0,0
степан_PROPN,1,1,0,0,1,0,0,1,0,1,1,0,0
раскрутке_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
раскрутить_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
степной_ADJ,1,0,1,0,1,0,0,0,0,0,0,0,0
раскрашенными_ADJ,1,0,1,0,1,0,0,0,0,0,0,0,0
раскопка_NOUN,1,1,0,0,0,0,1,0,0,0,0,0,0
стерва_ADJ,1,1,0,0,1,0,0,0,0,0,0,0,0
расклеиться_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
раскаится_VERB,1,0,1,0,0,1,0,0,0,0,0,0,0
распить_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
распланировать_VERB,1,1,0,0,0,0,1,1,1,0,0,0,1
расплатиться_VERB,1,1,0,0,0,0,1,0,0,0,0,0,0
стезя_NOUN,1,0,1,0,0,1,0,0,0,0,0,0,0
распросов_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
расправа_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
распорядок?сильно_ADV,1,1,0,0,1,0,0,0,0,0,0,0,0
старушки-_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
старшей_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
расположить_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
расположенный_ADJ,1,1,0,0,1,0,0,0,0,0,0,0,0
старяюсь_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
стасик_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
стасююш_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
расположенной_ADJ,1,1,0,0,0,1,0,0,0,0,0,0,0
статичный_ADJ,1,0,1,0,0,1,0,0,0,0,0,0,0
статуя_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
статья_NOUN,1,1,0,0,0,0,1,0,0,0,0,0,0
стебалась_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
расплыться_VERB,1,1,0,0,1,0,0,1,1,0,1,0,0
стебаются_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
стебешься_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
расплачутся_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
расстрелять_VERB,1,0,1,0,0,1,0,0,0,0,0,0,0
ссылка_NOUN,1,0,1,0,0,1,0,0,0,0,0,0,0
ссылаться_VERB,1,0,1,0,0,0,1,0,0,0,0,0,0
расшифровать_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
реагировать_VERB,1,1,0,0,0,0,1,2,2,0,0,2,0
реабилитироваться_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
реабилитация_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
рвение_NOUN,1,0,1,0,0,0,1,1,1,0,1,0,0
рваться_VERB,1,1,0,0,1,0,0,1,1,0,1,0,0
рашу_PROPN,1,0,1,0,1,0,0,0,0,0,0,0,0
спонтанен_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
рацион_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
рафаэла_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
спонтанный_ADJ,1,1,0,0,1,0,0,0,0,0,0,0,0
расстройство_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
расшириться_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
спорткомплекс_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
спортплощадка_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
расчётный_ADJ,1,1,0,0,1,0,0,1,1,0,0,1,0
спорю_ADV,1,1,0,0,1,0,0,0,0,0,0,0,0
расчётливый_ADJ,1,0,1,0,0,1,0,0,0,0,0,0,0
споткнуться_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
расчленить_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
справимся_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
реакторный_ADJ,1,0,1,0,0,0,1,0,0,0,0,0,0
реал_NOUN,1,0,1,0,1,0,0,1,0,1,0,1,0
реализация_NOUN,1,1,0,0,0,0,1,2,1,1,0,1,1
реализовать_VERB,1,1,0,0,1,0,0,1,0,1,0,1,0
спиртное_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
спиртному_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
списать_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
ревматизм_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
реванш_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
ребёночек_NOUN,1,1,0,0,1,0,0,2,2,0,0,1,1
ребятня_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
ребятки_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
ребятками_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
спица_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
спициной_PROPN,1,1,0,0,1,0,0,0,0,0,0,0,0
спишемся!:-_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
спишемся;бб=_PROPN,1,0,1,0,1,0,0,0,0,0,0,0,0
сплочение_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
сплошь_ADV,1,0,1,0,1,0,0,0,0,0,0,0,0
сплю_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
сподвигло_VERB,1,0,1,0,1,0,0,1,1,0,0,1,0
реализовываться_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
реализоваться_VERB,1,1,0,0,0,0,1,0,0,0,0,0,0
справка_NOUN,1,1,0,0,1,0,0,1,1,0,0,0,1
расчитывать_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
расчитывай_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
растроило_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
растолковывать_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
сработаюсь_VERB,1,0,1,0,0,0,1,0,0,0,0,0,0
сражение_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
сразупобежала_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
растерянны_ADJ,1,1,0,0,0,1,0,0,0,0,0,0,0
растерян_ADJ,1,0,0,1,0,1,0,0,0,0,0,0,0
срались_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
растерзать_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
срач_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
растение_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
растворяться_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
растаять_VERB,1,1,0,0,1,0,0,2,2,0,0,2,0
рассчитываюна_ADV,1,1,0,0,0,0,1,0,0,0,0,0,0
срулил_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
ссорятся_VERB,1,0,1,0,0,1,0,0,0,0,0,0,0
рассуждение_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
ссылать_VERB,1,0,1,0,0,1,0,0,0,0,0,0,0
рассудительный_ADJ,1,0,1,0,0,1,0,0,0,0,0,0,0
рассудительность_NOUN,1,0,1,0,0,0,1,0,0,0,0,0,0
растрачивать_VERB,1,1,0,0,0,1,0,1,1,0,0,1,0
растроился_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
расчитовать_VERB,1,0,1,0,0,0,1,0,0,0,0,0,0
растряслись_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
справлюсь_VERB,1,0,1,0,1,0,0,1,0,1,0,1,0
расчитана_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
справляешься_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
справлять_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
расцеловать_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
спроектировать_VERB,1,1,0,0,0,0,1,0,0,0,0,0,0
спрос_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
спросишь_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
спрятать_VERB,1,1,0,0,0,1,0,1,0,1,0,0,1
спрятаться_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
расходник_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
расходиться_VERB,1,1,0,0,1,0,0,2,2,0,1,1,0
расход_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
спускать_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
расхаживать_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
спуску_NOUN,1,0,1,0,1,0,0,0,0,0,0,0,0
сработаемся_VERB,1,0,1,0,0,0,1,0,0,0,0,0,0
расформировать_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
сработаться_VERB,1,0,1,0,0,0,1,0,0,0,0,0,0
рубик_NOUN,1,0,1,0,0,0,1,0,0,0,0,0,0
согреться_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
согревать_VERB,1,1,0,0,1,0,0,1,0,1,0,1,0
склоняться_VERB,1,1,0,0,0,1,0,0,0,0,0,0,0
скетч_NOUN,1,1,0,0,1,0,0,0,0,0,0,0,0
связанны_VERB,1,1,0,0,1,0,0,0,0,0,0,0,0
скидываться_VERB,1,0,1,0,1,0,0,0,0,0,0,0,0
свысока_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
скитлс(я_PROPN,1,0,1,0,0,0,1,0,0,0,0,0,0
своюродственницу_NOUN,1,1,0,0,0,1,0,0,0,0,0,0,0
своюпервоначальную_ADJ,1,0,1,0,0,1,0,0,0,0,0,0,0
