,FPI All / 1045,FPI ж / 696,FPI м / 343,FPI н / 6,FPI повествование / 553,FPI описание / 325,FPI официальный / 167,BIG5 All / 536,BIG5 ж / 338,BIG5 м / 198,BIG5 описание / 261,BIG5 повествование / 203,BIG5 рассуждение / 72
сторона_NOUN,143,98,43,2,27,109,7,53,41,12,46,7,0
встреча_NOUN,142,105,37,0,129,9,4,46,31,15,1,45,0
нее_PRON,142,116,26,0,40,100,2,49,34,15,40,9,0
всего_PRON,139,103,36,0,79,51,9,63,38,25,34,24,5
ничто_PRON,137,101,36,0,100,36,1,73,47,26,31,37,5
пойти_VERB,137,108,29,0,112,23,2,67,39,28,20,36,11
конечно_ADV,137,99,38,0,116,13,8,49,39,10,7,30,12
решить_VERB,137,101,35,1,100,30,7,58,44,14,20,35,3
ответ_NOUN,135,112,23,0,126,7,2,50,36,14,4,46,0
город_NOUN,135,100,33,2,110,11,14,63,41,22,13,42,8
девушка_NOUN,134,79,55,0,43,87,4,105,59,46,85,17,3
нравиться_VERB,134,108,25,1,110,12,12,43,30,13,9,33,1
лицо_NOUN,133,99,32,2,5,123,5,70,49,21,68,2,0
каждый_DET,132,101,31,0,85,43,4,37,24,13,18,18,1
старый_ADJ,131,93,38,0,37,93,1,47,25,22,32,14,1
потому_ADV,130,98,32,0,60,36,34,47,33,14,23,21,3
давать_VERB,130,84,46,0,105,21,4,39,25,14,10,26,3
место_NOUN,128,89,39,0,84,18,26,42,27,15,13,24,5
ездить_VERB,127,86,41,0,122,1,4,26,19,7,1,25,0
куда_ADV,126,95,31,0,91,34,1,44,30,14,10,24,10
считать_VERB,124,74,50,0,20,32,72,22,17,5,12,8,2
поступить_VERB,124,95,29,0,115,7,2,42,21,21,6,35,1
мать_NOUN,123,89,33,1,9,110,4,75,58,17,74,1,0
то_DET,122,93,29,0,37,81,4,55,38,17,43,10,2
заниматься_VERB,122,68,54,0,103,3,16,49,30,19,14,35,0
где_ADV,122,94,28,0,93,23,6,42,27,15,16,19,7
увидеть_VERB,122,93,29,0,70,50,2,52,35,17,29,23,0
сессия_NOUN,121,94,27,0,121,0,0,48,29,19,0,48,0
весёлый_ADJ,120,91,29,0,112,6,2,41,27,14,4,36,1
мама_NOUN,120,105,15,0,61,58,1,48,41,7,24,20,4
глаз_NOUN,119,94,24,1,21,95,3,39,25,14,34,3,2
сделать_VERB,119,78,39,2,61,45,13,63,45,18,28,17,18
него_PRON,119,91,28,0,42,71,6,48,26,22,43,5,0
идти_VERB,118,77,41,0,88,24,6,50,30,20,16,33,1
поехать_VERB,118,87,31,0,113,5,0,43,31,12,5,31,7
да_PART,118,80,38,0,103,13,2,30,18,12,7,21,2
будущее_NOUN,118,84,33,1,64,49,5,44,32,12,22,16,6
родитель_NOUN,118,87,31,0,98,16,4,56,41,15,13,25,18
его_DET,117,92,24,1,31,82,4,48,29,19,42,4,2
приезжать_VERB,117,76,41,0,113,3,1,32,24,8,2,29,1
дом_NOUN,116,83,32,1,81,28,7,79,51,28,26,23,30
без_ADP,116,82,33,1,90,16,10,28,21,7,10,17,1
раз_NOUN,116,87,29,0,96,16,4,37,22,15,7,29,1
неделя_NOUN,116,74,41,1,114,2,0,25,15,10,3,21,1
опыт_NOUN,115,72,42,1,8,16,91,12,8,4,7,5,0
также_ADV,113,72,41,0,61,20,32,56,37,19,21,30,5
здравствовать_VERB,111,67,43,1,68,2,41,17,12,5,0,17,0
найти_VERB,111,88,23,0,73,22,16,43,28,15,8,31,4
тут_ADV,111,74,36,1,93,17,1,24,10,14,9,14,1
надо_ADV,110,75,35,0,97,12,1,31,21,10,7,22,2
поэтому_ADV,110,80,30,0,46,46,18,48,30,18,21,22,5
домой_ADV,109,87,22,0,94,15,0,54,34,20,15,35,4
красивый_ADJ,109,87,22,0,52,53,4,43,29,14,23,17,3
больше_ADV,109,77,32,0,73,27,9,40,26,14,16,24,0
мысль_NOUN,108,74,34,0,30,74,4,60,37,23,42,13,5
хотя_SCONJ,108,88,19,1,86,20,2,33,18,15,13,19,1
ребёнок_NOUN,108,81,27,0,49,52,7,55,37,18,34,15,6
можно_ADV,107,72,34,1,45,52,10,62,40,22,23,27,12
хорошо_ADV,105,70,34,1,79,4,22,31,20,11,6,24,1
стоять_VERB,105,81,24,0,31,72,2,74,47,27,59,12,3
университет_NOUN,105,78,27,0,82,0,23,27,17,10,5,22,0
остаться_VERB,104,68,36,0,58,41,5,61,42,19,27,19,15
семья_NOUN,104,75,29,0,63,33,8,66,43,23,30,25,11
совсем_ADV,103,84,18,1,77,25,1,42,35,7,14,26,2
бабушка_NOUN,103,78,25,0,39,63,1,51,37,14,44,6,1
вместе_ADV,103,71,32,0,87,15,1,52,35,17,12,38,2
будет_VERB,101,77,23,1,67,27,7,24,14,10,8,13,3
рад_ADJ,100,79,20,1,81,13,6,27,19,8,9,17,1
которые_PRON,100,75,25,0,56,31,13,43,31,12,21,16,6
дома_ADV,100,75,25,0,92,6,2,20,11,9,8,12,0
том_PRON,100,72,27,1,40,56,4,39,24,15,27,10,2
начать_VERB,100,62,38,0,81,12,7,48,29,19,11,29,8
любимый_ADJ,99,79,20,0,81,15,3,30,28,2,7,22,1
сын_NOUN,99,68,30,1,20,77,2,36,26,10,34,2,0
помнить_VERB,99,70,29,0,89,10,0,23,14,9,2,21,0
должность_NOUN,99,58,41,0,7,0,92,1,1,0,0,1,0
того_PRON,99,65,33,1,47,43,9,30,21,9,13,13,4
близкий_ADJ,98,67,31,0,77,21,0,31,19,12,11,14,6
рука_NOUN,98,69,29,0,26,63,9,50,36,14,36,9,5
сидеть_VERB,98,73,25,0,67,27,4,26,17,9,8,17,1
море_NOUN,98,63,35,0,93,5,0,24,15,9,3,14,7
пожилой_ADJ,98,71,26,1,1,94,3,40,23,17,40,0,0
школа_NOUN,97,75,21,1,81,2,14,24,11,13,9,13,2
во_ADP,97,62,33,2,60,23,14,39,25,14,17,19,3
отдохнуть_VERB,95,58,37,0,93,2,0,22,14,8,5,14,3
голова_NOUN,95,70,24,1,37,52,6,35,24,11,23,10,2
встретиться_VERB,95,73,22,0,88,6,1,32,21,11,0,32,0
дорогой_ADJ,95,69,25,1,91,4,0,47,34,13,1,39,7
скорее_ADV,94,66,28,0,47,43,4,43,28,15,31,9,3
гулять_VERB,94,67,27,0,88,5,1,31,21,10,3,26,2
вспоминать_VERB,94,69,24,1,54,39,1,28,19,9,11,17,0
парень_NOUN,94,80,14,0,31,60,3,69,51,18,51,17,1
хватать_VERB,93,72,21,0,89,3,1,28,25,3,2,23,3
немного_ADV,93,66,27,0,59,32,2,38,27,11,14,22,2
возможно_ADV,93,72,21,0,9,80,4,61,40,21,51,6,4
поживать_VERB,92,64,27,1,92,0,0,21,14,7,1,20,0
язык_NOUN,92,68,24,0,32,3,57,8,5,3,2,6,0
понимать_VERB,92,74,18,0,52,31,9,36,27,9,10,25,1
увидеться_VERB,92,66,25,1,87,4,1,38,29,9,0,38,0
ведь_PART,91,69,22,0,63,22,6,31,24,7,13,16,2
гость_NOUN,91,66,25,0,87,4,0,26,21,5,3,23,0
высокий_ADJ,91,56,35,0,22,9,60,5,3,2,2,2,1
получить_VERB,91,62,27,2,58,7,26,33,20,13,5,17,11
ваш_DET,91,50,40,1,10,1,80,6,5,1,2,4,0
да_CCONJ,90,70,19,1,78,10,2,27,16,11,1,26,0
ни_PART,90,70,20,0,58,25,7,30,21,9,11,13,6
наверное_ADV,90,66,24,0,58,32,0,25,20,5,8,15,2
момент_NOUN,90,65,24,1,51,35,4,30,21,9,8,21,1
понравиться_VERB,90,73,17,0,82,7,1,30,21,9,7,23,0
именно_PART,89,63,24,2,25,19,45,14,11,3,5,9,0
прийти_VERB,89,59,29,1,44,39,6,39,23,16,22,12,5
универ_NOUN,88,61,27,0,88,0,0,22,11,11,2,19,1
образование_NOUN,88,55,33,0,20,1,67,5,5,0,0,5,0
которая_PRON,88,66,22,0,16,70,2,56,36,20,49,7,0
общаться_VERB,87,64,23,0,72,6,9,34,22,12,3,31,0
узнать_VERB,87,67,20,0,77,8,2,22,11,11,4,17,1
компания_NOUN,87,56,31,0,40,1,46,11,6,5,0,7,4
закончить_VERB,87,55,31,1,45,2,40,21,11,10,7,14,0
проблема_NOUN,87,62,25,0,51,24,12,26,16,10,11,13,2
планировать_VERB,87,50,36,1,80,5,2,30,25,5,1,26,3
собираться_VERB,87,59,28,0,81,4,2,37,24,13,9,27,1
который_PRON,87,67,19,1,40,42,5,49,30,19,37,10,2
долго_ADV,85,65,20,0,58,24,3,22,16,6,9,11,2
иметь_VERB,85,51,34,0,10,17,58,14,10,4,10,3,1
были_AUX,85,61,23,1,64,16,5,30,19,11,10,17,3
курс_NOUN,84,61,22,1,69,0,15,33,22,11,1,30,2
начаться_VERB,84,57,27,0,80,3,1,14,12,2,3,9,2
ли_PART,84,63,21,0,56,26,2,35,20,15,14,20,1
должный_ADJ,83,57,25,1,36,20,27,26,20,6,11,11,4
здесь_ADV,83,70,12,1,62,21,0,30,20,10,10,20,0
по_ADV,83,59,24,0,60,21,2,33,23,10,12,21,0
смочь_VERB,82,51,30,1,43,21,18,26,18,8,8,14,4
целый_ADJ,81,70,11,0,75,6,0,34,27,7,4,28,2
разный_ADJ,81,50,31,0,25,50,6,43,28,15,32,6,5
вечер_NOUN,81,52,29,0,72,8,1,26,16,10,7,15,4
часто_ADV,81,64,17,0,65,13,3,37,27,10,7,30,0
быть_AUX,81,60,20,1,42,31,8,34,23,11,19,11,4
-_PART,81,63,18,0,61,18,2,19,15,4,8,10,1
личный_ADJ,80,49,31,0,52,4,24,28,18,10,6,16,6
-_PUNCT,80,58,21,1,46,26,8,13,6,7,7,6,0
ладно_PART,79,55,24,0,79,0,0,37,15,22,2,35,0
главный_ADJ,79,58,21,0,43,10,26,30,22,8,9,15,6
ситуация_NOUN,79,48,31,0,16,55,8,46,26,20,40,4,2
сдать_VERB,79,54,25,0,79,0,0,17,8,9,1,16,0
взять_VERB,79,49,29,1,27,12,40,22,13,9,8,12,2
пара_NOUN,79,49,30,0,70,6,3,38,18,20,5,29,4
добрый_ADJ,78,55,22,1,27,35,16,31,21,10,14,17,0
обязательно_ADV,78,60,18,0,69,5,4,18,14,4,0,13,5
при_ADP,78,52,26,0,51,16,11,29,20,9,8,21,0
плохой_ADJ,78,56,21,1,41,34,3,29,23,6,16,13,0
конец_NOUN,78,56,22,0,50,23,5,25,11,14,14,10,1
воронеж_PROPN,76,55,21,0,71,0,5,35,22,13,0,34,1
провести_VERB,76,46,30,0,72,1,3,27,17,10,2,23,2
иногда_ADV,76,58,18,0,63,8,5,22,20,2,1,21,0
понять_VERB,76,59,17,0,37,28,11,34,23,11,20,14,0
будем_AUX,75,52,23,0,65,7,3,22,18,4,2,18,2
-_ADJ,75,46,29,0,29,17,29,12,7,5,5,6,1
посмотреть_VERB,74,51,23,0,47,25,2,21,16,5,10,10,1
купить_VERB,74,46,28,0,69,4,1,65,38,27,1,23,41
нормальный_ADJ,74,44,30,0,68,4,2,20,9,11,1,19,0
отдыхать_VERB,73,43,30,0,71,0,2,24,11,13,13,8,3
столько_ADV,73,56,17,0,67,4,2,15,13,2,2,13,0
забыть_VERB,73,58,14,1,57,12,4,22,18,4,9,13,0
-_ADP,73,53,19,1,45,25,3,33,18,15,18,14,1
большой_ADJ,73,48,24,1,44,12,17,26,14,12,7,14,5
друг_PRON,72,51,21,0,37,35,0,24,15,9,14,10,0
сильно_ADV,72,60,12,0,59,12,1,24,14,10,5,17,2
быстро_ADV,72,56,16,0,39,12,21,17,10,7,4,11,2
забывать_VERB,71,55,16,0,62,7,2,18,12,6,5,13,0
происходить_VERB,71,57,14,0,33,37,1,43,23,20,24,18,1
правда_ADV,71,48,23,0,68,3,0,19,12,7,0,19,0
нибудь_ADV,71,47,24,0,63,8,0,16,9,7,0,12,4
мечтать_VERB,70,53,16,1,55,12,3,31,22,9,15,12,4
никогда_ADV,70,55,15,0,40,20,10,25,16,9,9,15,1
про_ADP,70,58,12,0,61,9,0,30,22,8,9,20,1
таки_PART,70,56,14,0,50,18,2,17,15,2,9,8,0
почти_ADV,70,44,26,0,64,4,2,23,12,11,2,21,0
никто_PRON,70,54,16,0,32,31,7,22,9,13,15,7,0
молодость_NOUN,69,50,19,0,2,66,1,23,13,10,22,0,1
второй_ADJ,69,47,22,0,38,24,7,26,14,12,18,6,2
ведь_SCONJ,69,52,17,0,47,14,8,30,22,8,13,15,2
подходить_VERB,69,39,30,0,12,2,55,6,3,3,3,3,0
сам_ADJ,69,23,46,0,52,13,4,19,9,10,7,9,3
скорый_ADJ,69,46,23,0,60,5,4,25,20,5,5,20,0
сразу_ADV,69,52,16,1,54,8,7,22,13,9,9,8,5
больше_NUM,68,52,16,0,49,12,7,16,13,3,3,12,1
наконец_ADV,68,55,13,0,60,5,3,37,27,10,8,27,2
рассказывать_VERB,68,54,13,1,63,4,1,23,19,4,6,17,0
через_ADP,68,43,25,0,44,22,2,24,16,8,14,9,1
почему_ADV,67,50,17,0,37,24,6,18,15,3,9,9,0
об_ADP,67,52,14,1,33,30,4,33,27,6,17,12,4
