	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni
9	столько_ADV	0.15730717595785662	0.02499917610893486	7	60.797996296929576																																																																											
10	закончить_VERB	-0.1560572246795274	0.02618998788450791	6	63.69405053512324																																																																											
11	рассказывать_VERB	0.15150441879466728	0.030947502733206442	7	75.26432664715807																																																																											
12	ведь_SCONJ	0.15029490002446189	0.03232877507691462	5	78.62358098705636																																																																											
13	собираться_VERB	-0.15027886106966215	0.03234743817655966	9	78.6689696453931																																																																											
14	лето_NOUN	-0.14652144673701736	0.036979590345889296	9	89.93436372120277																																																																											
15	чтобы_SCONJ	-0.1462071576094773	0.03739126400361312	15	90.9355540567871																																																																											
16	встретиться_VERB	-0.14538495618328104	0.03848657986649388	6	93.59936223531311																																																																											
17	любимый_ADJ	0.14490001560832375	0.039145205661786385	5	95.2011401694645																																																																											
18	за_ADP	0.1434536506335963	0.04116627199051821	40	100.1163734809403																																																																											
19	другой_ADJ	0.14201914543871688	0.04325671234764403	6	105.20032442947027																																																																											
20	все_ADV	0.13987039126222978	0.04655404984982078	6	113.21944923476414																																																																											
21	поехать_VERB	-0.13853355207325768	0.048709531016379266	9	118.46157943183438																																																																											
22	общий_ADJ	0.13801196339307223	0.04957278246048528	9	120.5610069439002																																																																											
