	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Dim	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni
9																																				115	3.409831612671818	0.009571159980290357	2	10	12	0.11485391976348427																																											124	3.229720230699713	0.014026015415342503	2.0	14.0	16.0	0.22441624664548004							
10																																				47	3.2606695880833527	0.00982799106766942	2	10	12	0.11793589281203304																																											30	2.8090861584472098	0.014522318139514006	2.0	14.0	16.0	0.2323570902322241							
11																																				153	-3.1170206050694103	0.010943949411628478	2	10	12	0.13132739293954174																																											11	-2.7236361777700195	0.019816139525837453	2.0	14.0	16.0	0.31705823241339925							
12																																				45	-3.1400426719083367	0.011890165113960814	2	10	12	0.14268198136752977																																											261	2.663075608664222	0.020322452225501348	2.0	14.0	16.0	0.32515923560802157							
13																																				203	3.0452572276725314	0.012676944396197015	2	10	12	0.15212333275436418																																											46	2.5838337602843593	0.022035450707981002	2.0	14.0	16.0	0.35256721132769603							
14																																				254	-2.924409944361133	0.015236708204788006	2	10	12	0.18284049845745606																																											28	-2.5384683152214826	0.02512744834341544	2.0	14.0	16.0	0.402039173494647							
15																																				79	2.918204741341812	0.015680718608550515	2	10	12	0.1881686233026062																																											288	-2.517998450422242	0.02569942882106608	2.0	14.0	16.0	0.4111908611370573							
16																																				277	-2.948968482580221	0.015920590755340892	2	10	12	0.1910470890640907																																											278	2.511532765119256	0.025806967649268063	2.0	14.0	16.0	0.412911482388289							
17																																				223	-2.871122797291988	0.01672222238963906	2	10	12	0.2006666686756687																																											154	-3.257692249473505	0.026654947867907956	2.0	14.0	16.0	0.4264791658865273							
18																																				50	-2.837963146101936	0.017645561615271768	2	10	12	0.21174673938326122																																											231	-2.3915414334793197	0.03220857965824481	2.0	14.0	16.0	0.5153372745319169							
19																																				100	-2.829027359283559	0.019216953599354592	2	10	12	0.23060344319225512																																											280	-2.58206572513684	0.03278210320014859	2.0	14.0	16.0	0.5245136512023775							
20																																				98	-2.796964838709116	0.020755771769786886	2	10	12	0.24906926123744264																																											290	-2.7217534502587117	0.03476890693123804	2.0	14.0	16.0	0.5563025108998086							
21																																				66	-2.744191974935676	0.02259808238658166	2	10	12	0.27117698863897993																																											60	2.4357885083275463	0.03601302629081947	2.0	14.0	16.0	0.5762084206531115							
22																																				63	2.6963463137110013	0.02422135237737013	2	10	12	0.29065622852844153																																											88	-2.4008057234086566	0.03605333448785882	2.0	14.0	16.0	0.5768533518057412							
23																																				149	-2.663562379716944	0.025237737928135853	2	10	12	0.3028528551376302																																											32	-2.3139401032373943	0.03732534880009519	2.0	14.0	16.0	0.5972055808015231							
24																																				25	-2.612355308512602	0.027602979543709757	2	10	12	0.3312357545245171																																											9	-4.142308115006167	0.04166338721762741	2.0	14.0	16.0	0.6666141954820386							
25																																				240	-2.592374069238611	0.029127552089306688	2	10	12	0.34953062507168026																																											55	-2.2005942188262364	0.046275388977787164	2.0	14.0	16.0	0.7404062236445946							
26																																				292	-2.762957621502247	0.030001380665325813	2	10	12	0.36001656798390974																																											247	2.8480905492383206	0.046818931680144935	2.0	14.0	16.0	0.749102906882319							
27																																				85	-2.5272448253853192	0.030757405369009106	2	10	12	0.3690888644281093																																											173	-2.2044203570537735	0.0486771713970183	2.0	14.0	16.0	0.7788347423522928							
28																																				52	2.908723978868021	0.031109537776856645	2	10	12	0.37331445332227975																																																								
29																																				229	2.5002694811112938	0.03143777594940694	2	10	12	0.3772533113928833																																																								
30																																				239	-2.8175463354100807	0.031647272225410805	2	10	12	0.37976726670492966																																																								
31																																				235	-2.6245318133724065	0.03281961566751488	2	10	12	0.3938353880101786																																																								
32																																				174	2.5049477859621194	0.03382737374309753	2	10	12	0.4059284849171704																																																								
33																																				19	2.4566146422445314	0.03399276491279464	2	10	12	0.4079131789535357																																																								
34																																				90	2.479095105494745	0.034685713643944606	2	10	12	0.4162285637273353																																																								
35																																				88	2.4522451453020064	0.036621583098937885	2	10	12	0.4394589971872546																																																								
36																																				275	2.439786914702501	0.037123348358811536	2	10	12	0.44548018030573844																																																								
37																																				243	-2.4164623031693364	0.03855243980768883	2	10	12	0.462629277692266																																																								
38																																				123	2.3961488895153056	0.03975529271487102	2	10	12	0.47706351257845225																																																								
39																																				159	2.4390019341814995	0.040013293093087564	2	10	12	0.48015951711705074																																																								
40																																				84	-3.5367745522259835	0.04077026267353201	2	10	12	0.4892431520823841																																																								
41																																				206	3.2230258442027937	0.043345889214481605	2	10	12	0.5201506705737793																																																								
42																																				3	2.295434690203877	0.04468596080904674	2	10	12	0.5362315297085609																																																								
