	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9						247	0.22115067863841822	0.013574437710535306	124.0	1.683230276106378											4	0.30584998429966204	0.00804780775526287	74	0.5955377738894524																															110	0.5200923621329434	0.003828386074115015	29.0	0.11102319614933544										
10						81	-0.2177248211138141	0.015134576104744635	124.0	1.8766874369883348											217	0.30524177071295755	0.008180671669968565	74	0.6053697035776738																															90	0.5075381294245664	0.004947878847947818	29.0	0.1434884865904867										
11						145	0.21383149891237596	0.01709482397895081	124.0	2.1197581733899007											44	-0.3048902602094551	0.008258331926624575	74	0.6111165625702185																															57	-0.5074092433049112	0.004960681429809369	29.0	0.1438597614644717										
12						78	0.21340453473216658	0.017322626016613756	124.0	2.148005626060106											75	-0.30179222956042917	0.008971187117214062	74	0.6638678466738406																															297	-0.5069103386554435	0.005010505376585029	29.0	0.14530465592096584										
13						298	0.21113006604273732	0.018580970655523867	124.0	2.3040403612849594											72	0.3017821647128396	0.008973588043004823	74	0.6640455151823569																															13	0.5056263500905255	0.005140697959716274	29.0	0.14908024083177193										
14						231	-0.2108311128335756	0.018752100727438884	124.0	2.3252604902024214											9	-0.29986218630970063	0.009441990909740792	74	0.6987073273208186																															282	-0.5040046628196987	0.005309240045584929	29.0	0.15396796132196294										
15						146	0.20451606942074818	0.022698664140921178	124.0	2.814634353474226											157	0.2986028431688451	0.009760692219948918	74	0.72229122427622																															94	-0.5017940030532088	0.0055465530703089965	29.0	0.1608500390389609										
16						1	0.20230690279748187	0.024238219462253924	124.0	3.0055392133194867											209	0.2970301356013654	0.010171844487403523	74	0.7527164920678607																															269	-0.4991792948551128	0.005838828890045628	29.0	0.16932603781132322										
17						212	0.20028290135592358	0.025726357488182548	124.0	3.190068328534636											265	0.296537983200034	0.010303570889267194	74	0.7624642458057724																															74	0.49757765696894	0.006024244910405013	29.0	0.17470310240174539										
18						300	0.19488826709809012	0.030079053881908065	124.0	3.7298026813566003											84	0.2941182857125349	0.010973054131307728	74	0.8120060057167718																															182	0.4867585690899215	0.007412462263595795	29.0	0.21496140564427807										
19						257	-0.19335203107951926	0.03142741648578635	124.0	3.896999644237507											203	-0.29400077563737287	0.011006508691442853	74	0.8144816431667711																															179	-0.4862710640699482	0.007480900066427884	29.0	0.21694610192640865										
20						176	0.19194180853705436	0.03270991670707228	124.0	4.056029671676963											53	-0.2919857740502698	0.011594129903294186	74	0.8579656128437697																															47	0.4802057008007843	0.008378027023130534	29.0	0.24296278367078547										
21						28	-0.19142149955390325	0.033194150235139504	124.0	4.116074629157298											115	-0.2911461819282182	0.011846903757447588	74	0.8766708780511215																															181	-0.4799652030965284	0.00841539049703036	29.0	0.24404632441388044										
22						266	0.18884467393517812	0.03568253449568997	124.0	4.4246342774655565											175	-0.2905983322842307	0.012014410771680094	74	0.889066397104327																															299	0.47984976622746056	0.00843337447794018	29.0	0.2445678598602652										
23						3	-0.18764627236834985	0.03689228677386653	124.0	4.5746435599594495											87	-0.29036981511829923	0.01208488584142558	74	0.894281552265493																															66	-0.47949873486216227	0.008488261023495263	29.0	0.24615956968136263										
24						103	0.18637968899322552	0.03820817932794237	124.0	4.737814236664854											249	0.29015974080045437	0.012149989244314152	74	0.8990992040792473																															4	-0.4770326430684897	0.008882405377772058	29.0	0.2575897559553897										
25						227	-0.18598553500353251	0.03862563291053634	124.0	4.789578480906506											264	0.28823813031171774	0.012759765623477779	74	0.9442226561373557																															220	-0.4751511878143921	0.009193371925136251	29.0	0.2666077858289513										
26						80	-0.18588814843518367	0.03872936397904841	124.0	4.802441133402002											122	-0.2863903024590895	0.013370956930470234	74	0.9894508128547973																															154	0.47265100555067563	0.009620728768966642	29.0	0.27900113430003265										
27						224	-0.18499297904570872	0.03969384751479658	124.0	4.922037091834776											12	-0.28629929299701384	0.013401702961577779	74	0.9917260191567556																															279	0.46875557968602355	0.010319779479283761	29.0	0.2992736048992291										
