	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9	18	0.3160437058348775	0.01565665191465818	58	0.9080858110501744						145	0.7661149501704321	0.04459200161315468	7.0	0.31214401129208275																					156	-0.8442504719449749	0.03449779378951107	6.0	0.20698676273706645						36	0.6596427539374772	0.03796690280784718	10.0	0.3796690280784718																																				93	0.8910794775388237	0.042439729393643884	5.0	0.2121986469682194
10	133	0.31512254877566215	0.015978971346566714	58	0.9267803381008695																															150	-0.8260182204713066	0.04277130478979503	6.0	0.2566278287387702																																														33	-0.887843629114665	0.04432259643396496	5.0	0.2216129821698248
11	161	0.30739533540278063	0.018913333576315992	58	1.0969733474263275																																																																																	226	-0.8857001970012266	0.045584002212929596	5.0	0.227920011064648
12	85	-0.30506338971446706	0.019884277450335545	58	1.1532880921194617																																																																																	171	-0.8816519740949439	0.04799671694389828	5.0	0.2399835847194914
13	219	-0.3035268163107428	0.020546928016048578	58	1.1917218249308175																																																																																					
14	92	0.30003150648821925	0.02212435626758841	58	1.2832126635201277																																																																																					
15	230	0.2996686996690828	0.02229380859870302	58	1.2930408987247752																																																																																					
16	120	-0.29392100726478365	0.025128272148168828	58	1.457439784593792																																																																																					
17	70	-0.2856726885707932	0.02972172860769779	58	1.7238602592464718																																																																																					
18	210	-0.28011584193964484	0.03319660150120049	58	1.9254028870696285																																																																																					
19	16	-0.27515591196842976	0.036577765021361064	58	2.1215103712389416																																																																																					
20	34	0.2704831400404962	0.040019578302764716	58	2.3211355415603534																																																																																					
21	99	0.2703976613358332	0.04008494556111078	58	2.3249268425444254																																																																																					
22	268	-0.26899720686150713	0.04116850707411258	58	2.3877734102985295																																																																																					
23	89	-0.267109239727264	0.042667362485865626	58	2.4747070241802063																																																																																					
24	199	0.26542665922860187	0.044040720856428316	58	2.554361809672842																																																																																					
25	11	0.26438276427597146	0.044910871895649386	58	2.6048305699476644																																																																																					
26	256	-0.263818247956805	0.04538727632424831	58	2.6324620268064023																																																																																					
27	234	0.26231367354929663	0.04667728119955176	58	2.707282309574002																																																																																					
28	240	-0.26186469731103357	0.047067991784624695	58	2.7299435235082323																																																																																					
29	225	0.2609804100899053	0.047845348081271576	58	2.7750301887137514																																																																																					
30	191	0.2591167879218343	0.04951800403064064	58	2.872044233777157																																																																																					
