	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9	185	0.1418370070072136	0.026732624754929844	244.0	6.522760440202882	68	0.14846399296625806	0.04314012866945181	186.0	8.024063932518038											11	0.1509995481731575	0.03912348265441088	187.0	7.316091256374834											210	0.1085640418093931	0.024699890593310063	428.0	10.571553173936707	1	-0.19383465765511768	0.01016282925522823	175	1.7784951196649401						61	0.11876765173406711	0.03849127932732299	304.0	11.70134891550619	198	-0.1951436746305824	0.043979963555706	107.0	4.705856100460542																				
10	105	0.1410925854839779	0.02754864903581116	244.0	6.721870364737923	3	0.14593342739792717	0.04686672404719434	186.0	8.717210672778148											82	-0.1509607800710827	0.03917442781733287	187.0	7.325618001841248											69	0.10847122250388115	0.024823874582487703	428.0	10.624618321304737	242	0.18266556520711028	0.015541279040576629	175	2.71972383210091						113	-0.11853452831712738	0.03887635774087834	304.0	11.818412753227015																									
11	33	-0.13986745693012775	0.028938105332080057	244.0	7.060897701027534	75	-0.14575463750797027	0.04713987748008232	186.0	8.76801721129531											300	-0.14887040241668242	0.04200532318087448	187.0	7.854995434823528											126	-0.10630045516420568	0.027880535110498022	428.0	11.932869027293153	167	-0.1805323506741511	0.016812557689274667	175	2.9421975956230666						43	-0.1179426074976518	0.039868762301646876	304.0	12.12010373970065																									
12	46	-0.13700904573561462	0.03241476732785188	244.0	7.909203227995859	230	-0.14537185812991354	0.04772915135853318	186.0	8.877622152687172											230	0.14877873471993003	0.0421332955259016	187.0	7.878926263343599											241	-0.10556919056447533	0.02898057240644131	428.0	12.403684989956881	71	0.179183357859332	0.017662385940575683	175	3.0909175396007442						102	0.11758664730206196	0.04047579479876648	304.0	12.30464161882501																									
13	77	-0.13646651028166065	0.03311331384097749	244.0	8.079648577198506	232	0.1451259928752006	0.04811088070699659	186.0	8.948623811501365											291	0.14623495797349254	0.045817216091523054	187.0	8.567819409114811											295	-0.10548766541868841	0.029105486280309987	428.0	12.457148127972674	238	-0.17606606297586405	0.01977020616181463	175	3.4597860783175602						210	-0.11718785719979545	0.04116510924565309	304.0	12.51419321067854																									
14	5	-0.1344827603374317	0.03577751685205736	244.0	8.729714111901995																15	0.14557985392717487	0.04680836458038312	187.0	8.753164176531644											150	0.10507904482600312	0.029738559837404217	428.0	12.728103610409004	221	0.17428473583445897	0.021069838956682935	175	3.6872218174195135						48	-0.11699938891670852	0.041494306984181224	304.0	12.614269323191092																									
15	166	0.13372415320841255	0.03684329342563607	244.0	8.9897635958552																															219	0.10247856805875026	0.034050281576512825	428.0	14.57352051474749	37	-0.17087819783809535	0.023761626767555277	175	4.158284684322173						171	-0.11666984427638402	0.04207525307874294	304.0	12.790876935937854																									
16	144	0.132276776086288	0.03895136597552149	244.0	9.504133298027243																															47	-0.10184415939947876	0.0351795212939756	428.0	15.056835113821556	64	-0.165306278582335	0.028801852293136216	175	5.0403241512988375						108	-0.11662657292209376	0.04215204131369146	304.0	12.814220559362205																									
17	247	0.1292362372540342	0.043712859078009036	244.0	10.665937615034204																															59	-0.10176678651574594	0.03531939911009441	428.0	15.116702819120405	197	0.165233287736319	0.028873510012660315	175	5.052864252215556						280	0.11661806137578548	0.04216715956328805	304.0	12.818816507239568																									
18	117	-0.12862728632903028	0.04472297393282326	244.0	10.912405639608876																															106	-0.10163553594161738	0.03555776082374036	428.0	15.218721632560875	277	0.164143282229809	0.02996184134744828	175	5.243322235803449						300	-0.11562980640732182	0.04395380685747847	304.0	13.361957284673455																									
19	4	-0.1277574616207966	0.04619969879887696	244.0	11.272726506925979																															127	-0.09775604380799498	0.04324646153050617	428.0	18.50948553505664	69	0.16245463864171697	0.031716842387586784	175	5.550447417827687						164	0.11526726506127116	0.04462498881018737	304.0	13.56599659829696																									
