	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9																					210	-0.1591435570027991	0.005900392990383071	298	1.7583171111341551																					169	0.1598740111072941	0.046194861935196105	156.0	7.2063984618905925											169	0.20587855814862072	0.025310938103104717	118.0	2.986690696166357						252	-0.11423057039639267	0.046591884559095645	304.0	14.163932905965076	51	0.2087804529279842	0.030918636582222273	107.0	3.3082941142977833																				
10																					113	-0.156075840800302	0.006943828031550707	298	2.069260753402111																					2	-0.1577728420737185	0.04917495195729556	156.0	7.671292505338107											228	0.20376414984526547	0.026886876870639804	118.0	3.172651470735497											196	-0.2070604148310627	0.03235951351447375	107.0	3.462467946048691																				
11																					254	-0.1545447473738922	0.007523910061278308	298	2.242125198260936																																				115	0.2031928266803811	0.02732678355692575	118.0	3.2245604597172384											147	-0.20560171727402904	0.03362551414591067	107.0	3.5979300136124412																				
12																					39	-0.1544895508860386	0.007545606767010574	298	2.248590816569151																																				147	0.20268337134636802	0.02772420854697123	118.0	3.271456608542605											198	-0.19716699298846543	0.041792129372090855	107.0	4.471757842813721																				
13																					121	0.1531966559018303	0.008070043766101449	298	2.404873042298232																																				11	0.20082864529350855	0.029212892007546648	118.0	3.4471212568905045											99	0.19373516056938492	0.045558605008945575	107.0	4.874770735957177																				
14																					14	-0.15308282878343568	0.008117734946303082	298	2.4190850139983184																																				93	0.2007015027412623	0.029317382485919575	118.0	3.4594511333385096																																			
15																					293	-0.1528766492977408	0.008204759281193824	298	2.4450182657957598																																				208	-0.19877938059612582	0.03093612841901717	118.0	3.6504631534440257																																			
16																					130	0.15110968436002692	0.008985286229529986	298	2.6776152963999356																																				91	0.1986558475829653	0.031042704015061925	118.0	3.6630390737773073																																			
17																					292	-0.1503532113439238	0.009339142757364855	298	2.783064541694727																																				104	0.19751641862716676	0.032040470498634135	118.0	3.780775518838828																																			
18																					216	0.14955786027389073	0.009724473218010492	298	2.897893018967127																																				267	0.19649795433643302	0.03295514477652461	118.0	3.8887070836299036																																			
19																					59	0.14920341608022653	0.00990068890396254	298	2.950405293380837																																				34	-0.19367816578127003	0.03560340058277632	118.0	4.201201268767606																																			
20																					158	-0.1469507388010279	0.011088259881740331	298	3.304301444758619																																				59	0.19243274007041775	0.036828886465694564	118.0	4.3458086029519585																																			
21																					101	-0.14638502394115752	0.01140559632892609	298	3.398867706019975																																				238	-0.19209749477180654	0.03716475717654233	118.0	4.385441346831994																																			
22																					154	0.14521558773204477	0.01208712187574613	298	3.6019623189723466																																				227	-0.19206697594799424	0.03719546034431236	118.0	4.389064320628859																																			
23																					152	0.14515630726456208	0.012122606264413034	298	3.612536666795084																																				200	-0.19202611462831193	0.03723660184832586	118.0	4.3939190181024514																																			
24																					100	-0.14475908056191855	0.01236275893850699	298	3.684102163675083																																				235	-0.1905985796350907	0.03869811256754478	118.0	4.566377282970285																																			
25																					225	0.14444419710052192	0.01255609819506191	298	3.741717262128449																																				163	0.18990964542930852	0.03942047519804905	118.0	4.651616073369788																																			
26																					169	0.14426105482684132	0.012669768872135861	298	3.7755911238964868																																				13	0.1895958083008579	0.039753266860467436	118.0	4.690885489535157																																			
27																					47	0.14413945041138831	0.012745744673083285	298	3.798231912578819																																				173	0.18937710218157977	0.03998657059473902	118.0	4.718415330179204																																			
