	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
59																																				146	-0.2154845336159162	0.006901316672365502	156	1.0766054008890182																																													
60																																				220	-0.21493199260865523	0.0070499635397297655	156	1.0997943121978435																																													
61																																				206	0.21330317137749497	0.007504855953397085	156	1.1707575287299452																																													
62																																				16	-0.21316081952717428	0.007545823533832137	156	1.1771484712778133																																													
63																																				272	-0.21170448036712075	0.00797648889754968	156	1.2443322680177502																																													
64																																				231	0.21156268008246965	0.008019564232989492	156	1.2510520203463609																																													
65																																				26	-0.21154167033544435	0.008025963973896889	156	1.2520503799279148																																													
66																																				276	-0.21144673927012436	0.008054937238925315	156	1.2565702092723492																																													
67																																				45	0.21019934689661934	0.008444350578030498	156	1.3173186901727578																																													
68																																				90	0.20963140236857808	0.008627110464889502	156	1.3458292325227623																																													
69																																				95	0.20944330744692735	0.008688404959532785	156	1.3553911736871145																																													
70																																				14	-0.20800434727593273	0.009170210672176415	156	1.4305528648595207																																													
71																																				288	0.20695751961186679	0.009535409004729866	156	1.487523804737859																																													
72																																				96	0.20650574326904172	0.009696943625487469	156	1.5127232055760451																																													
73																																				245	-0.2060960705817103	0.009845507105713225	156	1.535899108491263																																													
74																																				223	-0.2057926129031978	0.009956843949787068	156	1.5532676561667826																																													
75																																				171	-0.20511453170017985	0.010209649650431113	156	1.5927053454672535																																													
76																																				193	-0.2046089925870177	0.010401792251680704	156	1.6226795912621899																																													
77																																				47	0.20388727862801317	0.010681616909532218	156	1.666332237887026																																													
78																																				153	-0.20336113348456356	0.010889771798630522	156	1.6988044005863614																																													
79																																				271	-0.2032718002379638	0.010925466346938209	156	1.7043727501223607																																													
80																																				250	0.20322319080093856	0.010944932256973393	156	1.7074094320878492																																													
81																																				166	-0.2031651967174461	0.010968196219021658	156	1.7110386101673787																																													
82																																				249	-0.20264420695701751	0.011179146705555556	156	1.7439468860666667																																													
83																																				230	0.2025810606949007	0.011204955733708888	156	1.7479730944585865																																													
84																																				134	-0.20257820631860904	0.011206123606125983	156	1.7481552825556532																																													
85																																				81	-0.20176545148320116	0.01154304968453777	156	1.8007157507878921																																													
