	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9	49	0.17327567521953452	0.046090461788243664	133.0	6.130031417836407																																																			243	-0.5843164254972487	0.000873730241631941	29	0.02533817700732629	177	-0.34626252852614503	0.03857059256798381	36.0	1.388541332447417										
10	93	0.17323572078912128	0.046141463210276096	133.0	6.136814606966721																																																			90	0.5819439291346444	0.0009277823449542513	29	0.026905688003673288															
11	149	0.17265863094998468	0.04688336686875568	133.0	6.235487793544506																																																			35	-0.5747236090297607	0.0011106462535874029	29	0.03220874135403468															
12	208	-0.17161015816818775	0.04825666326968945	133.0	6.418136214868697																																																			295	0.5732151356185484	0.0011525853266477384	29	0.03342497447278441															
13	161	0.17155402265276187	0.04833112219652071	133.0	6.428039252137254																																																			275	0.5671764558173968	0.001334595571519004	29	0.03870327157405112															
14																																																								111	0.5664819558351261	0.001357049242473258	29	0.03935442803172448															
15																																																								92	0.5599779815278115	0.001583773586020056	29	0.045929433994581624															
16																																																								45	-0.5580698697645688	0.0016562298048084737	29	0.048030664339445736															
17																																																								7	-0.5558351894230635	0.0017447246616311524	29	0.05059701518730342															
18																																																								138	-0.5507744109321054	0.0019604103399213694	29	0.05685189985771971															
19																																																								131	0.5468201634900586	0.002144629239025503	29	0.06219424793173958															
20																																																								291	0.5404456848605476	0.0024731033539983735	29	0.07171999726595284															
21																																																								280	0.5263914840950488	0.0033536983565681665	29	0.09725725234047683															
22																																																								297	-0.5225542656416462	0.0036364314168086157	29	0.10545651108744986															
23																																																								242	0.5155382457076466	0.004206397837900551	29	0.12198553729911597															
24																																																								179	-0.5153943973788931	0.004218839682117644	29	0.12234635078141168															
25																																																								93	0.5102995223534573	0.004680268979722673	29	0.13572780041195753															
26																																																								34	0.5095080768712896	0.004755675343929219	29	0.13791458497394737															
27																																																								89	-0.5072369929383946	0.004977835559903909	29	0.14435723123721336															
28																																																								108	-0.5053053696116007	0.005173690863473206	29	0.15003703504072297															
29																																																								253	0.4972130470590143	0.0060671459557693425	29	0.17594723271731094															
30																																																								13	0.4957172927683241	0.006245865585860667	29	0.18113010198995935															
31																																																								202	0.49449586990002486	0.006395100944186961	29	0.18545792738142186															
32																																																								155	0.4924320786094575	0.006654129306547842	29	0.1929697498898874															
33																																																								116	0.4884747965350489	0.007175727238620924	29	0.2080960899200068															
34																																																								69	-0.4880952881086663	0.007227517896742245	29	0.2095980190055251															
