	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9											212	-0.13207657639986198	0.02258327329129569	298.0	6.7298154408061155	70	0.17818406768033723	0.03794724135153003	136.0	5.160824823808084	41	0.11770495018891743	0.04409621815867128	293.0	12.920191920490684	47	-0.12380349788581643	0.01035791487727297	428.0	4.433187567472832	277	0.1499309704597407	0.047659152575446326	175.0	8.340351700703106																98	-0.1459521396808216	0.01542249334585764	276.0	4.256608163456709											206	-0.2449129904948596	0.004811929036848141	131	0.6303627038271065	220	0.23395091685475175	0.019771184281642304	99.0	1.957347243882588
10											12	-0.13147069771599643	0.02321614656342063	298.0	6.918411675899348						187	-0.11615665608671055	0.04697653245812438	293.0	13.764124010230443	58	-0.1217322106523567	0.011721142350297205	428.0	5.016648925927203	30	0.14988870592734227	0.04772258660113303	175.0	8.35145265519828																198	0.14484882586447398	0.016225858041067225	276.0	4.4783368193345545											264	-0.24339618770671534	0.005088863204913889	131	0.6666410798437195	164	-0.23153566683199744	0.021115026696790475	99.0	2.090387642982257
11											280	-0.12898624523733818	0.02597408744674493	298.0	7.740278059129989						201	-0.11530714173884099	0.04862270581047873	293.0	14.246452802470268	59	-0.11694149203031012	0.015497497871019079	428.0	6.632929088796166	122	-0.14941563299778826	0.048437425613418905	175.0	8.47654948234831																205	0.14268192033356383	0.017910673082484434	276.0	4.943345770765704											50	0.24127299121384121	0.005500417087455442	131	0.7205546384566629	119	0.23074281021171217	0.021572918107046455	99.0	2.135718892597599
12											114	-0.12816306455819526	0.02694799818969994	298.0	8.030503460530582						213	-0.11523768211820384	0.04875940861003303	293.0	14.286506722739677	43	0.11685258118698094	0.01557666318591018	428.0	6.666811843569557																					54	0.14258486468281142	0.017989577403989907	276.0	4.965123363501214											203	-0.23382950198932345	0.007187678914046125	131	0.9415859377400423	79	-0.22917798081424096	0.022501651958555365	99.0	2.227663543896981
13											225	-0.1260245750214528	0.02962582606337299	298.0	8.82849616688515						10	-0.11518957744233245	0.04885427097367319	293.0	14.314301395286245	104	-0.11664681703792752	0.0157612346632815	428.0	6.7458084358844825																					295	-0.14226577569576312	0.018251128560043697	276.0	5.03731148257206											199	0.23304589907363518	0.007389611046591147	131	0.9680390471034402	286	0.22539529254144142	0.02488903984430607	99.0	2.464014944586301
14											146	0.12551027103659737	0.030302791859448546	298.0	9.030231974115667						33	-0.11475878106013689	0.04971069115337463	293.0	14.565232507938765	137	0.11608813241277084	0.016272078776314768	428.0	6.964449716262721																					233	-0.1421130164104666	0.018377510130044492	276.0	5.0721927958922794											31	0.23248343388865073	0.007537641393713207	131	0.9874310225764301	63	-0.22373721718476774	0.026001699258375643	99.0	2.5741682265791885
15											169	-0.12146948978809852	0.03609616655833864	298.0	10.756657634384915						9	-0.11465669952886784	0.04991545397558237	293.0	14.625228014845634	11	-0.11562201470336096	0.016709317818917026	428.0	7.151588026496487																					278	0.13773558452107953	0.022337383347446553	276.0	6.1651178038952485											23	-0.23229433511940087	0.0075879955997018	131	0.9940274235609358	25	0.22350160792567675	0.026163190183012115	99.0	2.5901558281181996
16											113	0.12144217918823724	0.03613831476430436	298.0	10.7692177997627											172	0.11246351304913416	0.019952149819868873	428.0	8.539520122903877																					182	-0.13677172861422907	0.023302297564313262	276.0	6.43143412775046											244	-0.2318877053817503	0.007697285758578119	131	1.0083444343737336	123	0.2231116447143807	0.026432353225304964	99.0	2.6168029693051915
17											59	-0.11937095110848064	0.039458743051047365	298.0	11.758705429212116											297	0.11032864586247165	0.022442470579639343	428.0	9.605377408085639																					147	0.13461208181671785	0.025595778740663856	276.0	7.064434932423224											73	0.2253052196304086	0.009670949622416209	131	1.2668944005365232	115	-0.22192949397518474	0.027262740433005098	99.0	2.6990113028675045
18											189	-0.11830500147957566	0.04126571748461089	298.0	12.297183810414046											22	0.11019231097700695	0.022610274957604416	428.0	9.67719768185469																					274	0.13408643341568097	0.026182526325631866	276.0	7.226377265874395											107	-0.2251286264555249	0.009729540537890524	131	1.2745698104636587	263	-0.2184946868794095	0.029802251986081517	99.0	2.95042294662207
