	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
16											77	-0.2509020785733043	0.005708261828736237	120	0.6849914194483484						290	0.2841408473156187	0.0321889626587631	57.0	1.8347708715494968						103	0.15335251384264792	0.03613424402675511	187.0	6.757103633003205																															225	0.4318105544422887	0.019331231327759112	29.0	0.5606057085050142																				
17											39	0.24687759996340794	0.006561593273532971	120	0.7873911928239565						124	0.28402243710564723	0.032263973537959754	57.0	1.839046491663706						1	0.15091504544963014	0.03923459951250679	187.0	7.336870108838769																															16	-0.42694981484808375	0.02089452859823449	29.0	0.6059413293488002																				
18											18	0.24566276756382927	0.006840536955493678	120	0.8208644346592413						212	0.2831020690317937	0.03285199077014289	57.0	1.8725634738981447						192	0.15068434758866478	0.039539309826786974	187.0	7.393850937609164																															204	0.4237682855386977	0.021972906471255917	29.0	0.6372142876664216																				
19											273	-0.23747322305851162	0.009011147533212789	120	1.0813377039855347						222	-0.28159987332351033	0.03383088479314989	57.0	1.9283604332095439						108	0.1499445694559293	0.04052989371040241	187.0	7.57909012384525																															57	-0.42055330176701	0.023108569353508007	29.0	0.6701485112517321																				
20											117	0.23662109030640527	0.009268629452658984	120	1.112235534319078						145	0.27825450581734273	0.03609821401023157	57.0	2.0575981985831993						3	0.14720984460699044	0.04437475742589402	187.0	8.298079638642182																															224	0.4189768565894092	0.023682739023268253	29.0	0.6867994316747793																				
21											298	0.23630452344513164	0.009365922194271951	120	1.1239106633126341						244	-0.27698975638662227	0.03698757710784612	57.0	2.108291895147229						245	0.14607887591916338	0.046051756921717056	187.0	8.611678544361089																															13	0.418693155585072	0.02378729634168927	29.0	0.6898315939089888																				
22											188	-0.23450960327227455	0.00993475914698765	120	1.192171097638518						149	-0.2762747462302642	0.03749834388758847	57.0	2.1374056015925427						78	0.14602359525128883	0.04613506602622996	187.0	8.627257346905003																															110	0.40625105963314423	0.028757946258996154	29.0	0.8339804415108885																				
23											160	-0.23066887272671432	0.011254954974326914	120	1.3505945969192297						235	-0.27592174819557586	0.03775265144730813	57.0	2.1519011324965636						130	-0.14573114807282636	0.04657788709959677	187.0	8.710064887624595																															269	-0.4060890455038061	0.028827834451722538	29.0	0.8360071990999536																				
24											11	-0.22987052853572545	0.011547919844275481	120	1.3857503813130578						96	-0.27400165044316577	0.03916103919684362	57.0	2.2321792342200864						194	-0.1456453167467857	0.046708523703994774	187.0	8.734493932647023																															93	0.40574639104324056	0.028976099755742377	29.0	0.8403068929165289																				
25											230	0.22821775398211483	0.012175735837440546	120	1.4610883004928654						81	-0.2731990880228541	0.039762436283786215	57.0	2.2664588681758144						42	-0.1436508496190317	0.04983131806384555	187.0	9.318456477939119																															282	-0.4026692252545085	0.03033550135198415	29.0	0.8797295392075404																				
