	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9	89	-0.5135353946664036	3.746811064293821e-05	58	0.002173150417290416	298	-0.48029349987321884	0.002624851909270989	37.0	0.09711952064302659						264	0.9304021492321681	0.021809263968941336	5.0	0.10904631984470668						125	-0.9546300214854223	0.0030409568508829093	6.0	0.018245741105297454						154	0.8470728143785898	0.0019811072352591756	10.0	0.019811072352591757						176	-0.9690990419284815	0.03090095807151849	4.0	0.12360383228607397						267	0.9750623883908429	0.024937611609157084	4.0	0.09975044643662834																179	-0.509020925690742	0.044039389188830776	16.0	0.7046302270212924					
10	225	0.5125775709973366	3.895888872272528e-05	58	0.0022596155459180664	160	-0.4793572438256672	0.0026833587478732523	37.0	0.09928427367131033						62	-0.9298100526182168	0.022086157349468873	5.0	0.11043078674734436						32	0.9536974301331691	0.0031662572769537243	6.0	0.018997543661722346						20	-0.8405823024170499	0.0023202185813304033	10.0	0.023202185813304032						127	0.9648798551366289	0.03512014486337112	4.0	0.14048057945348447						71	0.972521640279555	0.02747835972044499	4.0	0.10991343888177996																									
11	110	0.5111623228102625	4.126204692934976e-05	58	0.0023931987219022862	162	-0.45175343581405886	0.00500426050333479	37.0	0.18515763862338722						38	0.9283939368395703	0.02275296648884263	5.0	0.11376483244421315						298	-0.9509694776331612	0.0035470536905555395	6.0	0.021282322143333237						173	0.8371708978316103	0.0025143300302712173	10.0	0.025143300302712175						267	-0.964443169420579	0.03555683057942105	4.0	0.1422273223176842						24	0.9705495401204417	0.0294504598795583	4.0	0.1178018395182332																									
12	161	0.503407093500902	5.627276486474957e-05	58	0.003263820362155475	148	-0.45106508439102616	0.005079391310582271	37.0	0.18793747849154402						7	-0.9276276668645128	0.02311644586615694	5.0	0.1155822293307847						198	-0.948460381866555	0.0039160451814379315	6.0	0.02349627108862759						50	-0.8296813223604788	0.00298118042295255	10.0	0.0298118042295255						212	-0.956344319816624	0.043655680183375956	4.0	0.17462272073350382						141	0.9652793649621899	0.03472063503781009	4.0	0.13888254015124035																									
13	267	0.5001864919922384	6.387136354709942e-05	58	0.0037045390857317665	27	-0.4498444443943527	0.005215017538650497	37.0	0.1929556489300684						281	0.9190394888253169	0.027314805519745626	5.0	0.13657402759872814						140	-0.9427484839495548	0.0048227764549265695	6.0	0.028936658729559417						155	0.8289147775323435	0.003032237515063871	10.0	0.03032237515063871						152	-0.9555809149244622	0.04441908507553782	4.0	0.1776763403021513						38	0.964905590137585	0.035094409862414966	4.0	0.14037763944965986																									
14	25	-0.49058455548505775	9.248670354576495e-05	58	0.005364228805654367	258	0.4470275158213109	0.005539999999985834	37.0	0.20497999999947586						287	-0.9129678960751394	0.03041590186205811	5.0	0.15207950931029054						40	-0.9424867843222393	0.004866534722327958	6.0	0.02919920833396775						169	0.8243778225437074	0.003347396087086249	10.0	0.03347396087086249						262	-0.9533939307416611	0.04660606925833888	4.0	0.1864242770333555						244	-0.9590418554931063	0.04095814450689372	4.0	0.1638325780275749																									
15	11	0.4883209873602251	0.00010076006535205312	58	0.005844083790419081	150	0.4396470990742956	0.006475532704342772	37.0	0.23959471006068256						21	-0.9118954785622855	0.030974680417162684	5.0	0.1548734020858134						213	0.9419099182258891	0.004963675141805515	6.0	0.02978205085083309						203	0.8226331624340926	0.003474623686427534	10.0	0.034746236864275346																213	0.9577172425282064	0.04228275747179355	4.0	0.1691310298871742																									
16	142	-0.48533028481563717	0.00011273345026862706	58	0.00653854011558037	194	0.43942598738649064	0.006505537401950662	37.0	0.24070488387217448						164	0.906882495120141	0.033629462600240495	5.0	0.16814731300120248						249	-0.9416399073541218	0.005009466288612023	6.0	0.030056797731672136						147	0.8190365628557473	0.0037478003589082156	10.0	0.037478003589082154																30	-0.9574342751155202	0.04256572488447985	4.0	0.1702628995379194																									
17	109	-0.4816118690878759	0.00012943689239675564	58	0.007507339759011827	112	-0.4373239920241222	0.006796797678183524	37.0	0.2514815140927904						280	0.9038229975966368	0.035283695749456515	5.0	0.17641847874728256						48	-0.9389628752164998	0.005474598064640339	6.0	0.03284758838784203						249	-0.8155335412822807	0.004028350534734643	10.0	0.04028350534734643																193	-0.9554614836137109	0.04453851638628914	4.0	0.17815406554515656																									
18	34	0.4811798448747269	0.00013151802064591682	58	0.007628045197463175	170	-0.4365333201360813	0.00690921908915453	37.0	0.2556411062987176						217	-0.903719195718856	0.03534026435270008	5.0	0.1767013217635004						50	-0.9385895950539649	0.005541060132136913	6.0	0.03324636079282148						75	0.813149645250095	0.004227669669326712	10.0	0.04227669669326712																298	0.9549895399682139	0.045010460031786104	4.0	0.18004184012714441																									
19	31	0.480650769886748	0.00013410841449788098	58	0.007778288040877096	137	0.4333274576390971	0.007381559841950524	37.0	0.2731177141521694						254	-0.8993110038794156	0.03776908413264477	5.0	0.18884542066322385						193	-0.9377191642199275	0.0056975631132216665	6.0	0.03418537867933						130	0.8100404497019467	0.0044981135007391565	10.0	0.044981135007391565																119	-0.95031815587537	0.04968184412462995	4.0	0.1987273764985198																									
20	248	0.47777067064556905	0.00014904810417559901	58	0.008644790042184743	88	-0.4315889262389424	0.00764909785503469	37.0	0.2830166206362835						186	0.8981965675104913	0.03839122468466912	5.0	0.19195612342334561						53	0.9353215021384463	0.00613967708690528	6.0	0.03683806252143168						66	-0.8083942205913095	0.004646205947467877	10.0	0.04646205947467877																																													
21	253	0.4774612120558226	0.00015074084197797894	58	0.008742968834722779	26	0.42483289542257346	0.008769124615533943	37.0	0.3244576107747559						214	-0.8961984956766202	0.039514735775617926	5.0	0.19757367887808963						253	0.9338550792775938	0.006418028813338521	6.0	0.038508172880031125						187	0.8079790030236017	0.004684101708459274	10.0	0.04684101708459274																																													
22	207	-0.47371700714891773	0.00017266430571707234	58	0.010014529731590196	104	-0.42022325498611235	0.009611278515468773	37.0	0.35561730507234457						52	0.8947104950174256	0.0403581124490734	5.0	0.20179056224536698						19	0.9314563603877319	0.0068863288867684535	6.0	0.04131797332061072						200	-0.8060305656335964	0.004864885587098595	10.0	0.04864885587098595																																													
23	92	0.47075963101660373	0.0001920011813661913	58	0.011136068519239095	37	0.4164441349597315	0.010352220356298516	37.0	0.38303215318304507						78	-0.8936618111068172	0.04095588615615512	5.0	0.2047794307807756						16	-0.9300845632562197	0.0071613732319967364	6.0	0.04296823939198042						223	-0.8056540758255704	0.004900383658931467	10.0	0.04900383658931467																																													
24	90	0.47070099604222637	0.00019240382784761612	58	0.011159422015161735	70	0.41342394913415254	0.010978789232530468	37.0	0.40621520160362734						189	0.8929577919463552	0.041358758523863795	5.0	0.20679379261931896						251	-0.9284553021458806	0.00749485977482955	6.0	0.0449691586489773						144	-0.8052070956977696	0.004942767740076804	10.0	0.04942767740076805																																													
25	79	0.46992102926631435	0.0001978337815848713	58	0.011474359331922536	43	-0.41198087195252087	0.01128936454122552	37.0	0.41770648802534427						243	-0.8914279836953299	0.04223849481737959	5.0	0.21119247408689795						169	0.9261721225666835	0.007974631758269865	6.0	0.047847790549619185						102	0.8047993812017852	0.004981656195440087	10.0	0.04981656195440087																																													
