	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9											155	0.19428389050327116	0.049242856318492574	103.0	5.072014200804735	164	-0.1805851104477369	0.048408618207316415	120.0	5.809034184877969	272	-0.35947659334297044	0.004111069110414278	62	0.2548862848456852	51	0.15439257013608937	0.034875825080139755	187.0	6.521779289986134						213	0.33844579693640764	0.04673654819480229	35.0	1.63577918681808											237	0.3906326290942906	0.01849624142011005	36.0	0.6658646911239618	121	-0.39615396009007653	0.03689451401355238	28.0	1.0330463923794666					
10																234	0.1804471334999653	0.048583314273884806	120.0	5.829997712866176	107	0.35521963100123577	0.004609731752171914	62	0.28580336863465866	199	0.15412689567675336	0.03519369566657567	187.0	6.58122108964965																					209	-0.38929740617616604	0.018936576733971477	36.0	0.6817167624229732	177	0.39490163271431983	0.037549678169160904	28.0	1.0513909887365054					
11																					204	0.35398586438724416	0.004763896465686784	62	0.29536158087258063	232	-0.1511095670887524	0.03897921061740609	187.0	7.289112385454939																					130	0.38548776372092514	0.020241302492734845	36.0	0.7286868897384544	292	0.38064793586216866	0.04568251734555725	28.0	1.279110485675603					
12																					16	-0.3499473361163698	0.005300806744886408	62	0.32865001818295725	144	0.15099273439713806	0.0391324325929978	187.0	7.317764894890589																					194	0.380420154229031	0.022092133917982513	36.0	0.7953168210473704	295	-0.380639145616157	0.04568793136391623	28.0	1.2792620781896544					
13																					217	-0.3496204906267863	0.005346503604358141	62	0.3314832234702047	176	-0.15066832896731674	0.03956054131040553	187.0	7.397821225045835																					277	-0.37687675627527323	0.023468061035905024	36.0	0.8448501972925808										
14																					7	-0.3467810451235161	0.005758305688489726	62	0.357014952686363	31	-0.1497540397559808	0.04078837141882226	187.0	7.627425455319762																					233	0.3741417195348063	0.024578007597099612	36.0	0.884808273495586										
15																					101	0.34418281346504104	0.006159285873591969	62	0.3818757241627021	211	-0.14956475028107868	0.04104653739235407	187.0	7.675702492370211																					65	0.3729431291969431	0.02507792820669947	36.0	0.9028054154411809										
16																					219	-0.34316273301619193	0.006323289284853186	62	0.39204393566089757	251	0.1490616641385493	0.041739363270727484	187.0	7.805260931626039																					115	0.3638850879131564	0.02913417439811471	36.0	1.0488302783321295										
17																					197	0.34251044607906667	0.006430157327068112	62	0.39866975427822293	257	0.1489506799597905	0.04189352013560563	187.0	7.834088265358252																					234	-0.36244511884972197	0.029826084595257103	36.0	1.0737390454292557										
18																					155	0.341693486903998	0.00656623616384595	62	0.40710664215844894	238	-0.14583642639130098	0.04641806852327219	187.0	8.6801788138519																					119	-0.36200881924439465	0.030038370862804524	36.0	1.081381351060963										
19																					243	-0.3408512424736129	0.006709162637910605	62	0.4159680835504575	15	-0.14525733243123473	0.04730286353042828	187.0	8.845635480190088																					34	0.35877295875307263	0.031651816589197024	36.0	1.1394653972110929										
20																					58	0.3386738214070264	0.007091367283848798	62	0.4396647715986255	242	-0.14513163966430784	0.047496755588375475	187.0	8.881893295026213																					79	0.35556321323542506	0.03332166669216996	36.0	1.1995800009181186										
21																					169	0.3335895004584997	0.008058824735018353	62	0.4996471335711379	45	0.14478450562274234	0.04803568567151503	187.0	8.98267322057331																					267	0.35153207011752025	0.03552008998469144	36.0	1.2787232394488917										
22																					234	-0.33281839159008086	0.008215184442227196	62	0.5093414354180862																										32	0.34952377137898305	0.03665863006600278	36.0	1.3197106823761										
23																					290	-0.33275016685275516	0.008229145101895045	62	0.5102069963174928																										111	0.3434531959869039	0.04028177503051783	36.0	1.4501439010986419										
24																					54	-0.3245745596691029	0.010059325682097976	62	0.6236781922900745																										269	-0.34315221391725603	0.04046869397000777	36.0	1.4568729829202796										
25																					144	0.32350534909976275	0.010323030654916004	62	0.6400279006047922																										93	0.3419924343077624	0.0411955284375501	36.0	1.4830390237518036										
26																					8	0.3230429584870786	0.010438916882245462	62	0.6472128466992186																										163	0.33991167766269603	0.04252598422335653	36.0	1.530935432040835										
27																					265	-0.32232851843711735	0.01062019072385916	62	0.6584518248792679																										155	0.33839058208427597	0.0435203712126814	36.0	1.5667333636565304										
28																					225	0.31800547843810384	0.011776344799141603	62	0.7301333775467794																										265	-0.3336396857752245	0.04674750259154707	36.0	1.6829100932956946										
29																					213	0.3143396406463635	0.012840445118530623	62	0.7961075973488987																										129	0.32978331132675265	0.04950603608523547	36.0	1.7822172990684768										
30																					206	0.31334976665049585	0.013141620278041204	62	0.8147804572385546																																								
31																					253	0.3132795264436405	0.013163220718569938	62	0.8161196845513361																																								
32																					57	-0.31315411699938245	0.013201863026178243	62	0.818515507623051																																								
33																					240	0.3119159432325437	0.013588656958186953	62	0.8424967314075911																																								
34																					62	-0.311607955541184	0.013686371158354558	62	0.8485550118179825																																								
35																					154	0.31045977505556643	0.014055999957090707	62	0.8714719973396238																																								
36																					121	0.31015239973242215	0.014156397052062723	62	0.8776966172278888																																								
37																					289	0.30277525259861454	0.016757910955553162	62	1.038990479244296																																								
38																					113	-0.301735460393851	0.017155601984959985	62	1.063647323067519																																								
39																					105	0.3016777216760493	0.017177919905015188	62	1.0650310341109417																																								
40																					227	0.2886547027874195	0.022889003834693642	62	1.4191182377510059																																								
41																					65	0.28211151302487547	0.026318732523352456	62	1.6317614164478522																																								
42																					139	-0.28081692108628964	0.027046240989803197	62	1.6768669413677981																																								
43																					276	0.27741275987331915	0.029040394562501497	62	1.8005044628750928																																								
