	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9						68	0.14884600180801605	0.04259975174843393	186.0	7.923553825208711	174	-0.16652139487278492	0.012974168436339169	222	2.8802653928672957						38	-0.22159772962878035	0.009522151413075611	136.0	1.2950125921782831	266	0.116288109911528	0.024129689655632707	376.0	9.072763310517898	98	0.16759438911847818	0.03039799338079861	167.0	5.076464894593368											46	-0.20164075893116132	0.028552901751133713	118.0	3.369242406633778																										141	-0.1893955740449214	0.02721965204708169	136.0	3.70187267840311	61	-0.2464686914111121	0.013922692074241539	99.0	1.3783465153499124
10						17	0.14586974005090886	0.04696387310575084	186.0	8.735280397669657	37	0.16358739744295805	0.014683285678103805	222	3.2596894205390448						130	-0.219817820795378	0.0101298952102116	136.0	1.3776657485887776	287	-0.11436115741330284	0.026592949026539834	376.0	9.998948833978977	209	-0.16738747859666933	0.030606284079138523	167.0	5.111249441216134											44	-0.19923456945798784	0.030546095176999622	118.0	3.6044392308859554																										79	0.18800337622418078	0.02839226327613012	136.0	3.861347805553696	9	-0.2419090812355313	0.01585044341449496	99.0	1.569193898035001
11						139	-0.1447698246458837	0.04866837542320494	186.0	9.05231782871612	122	-0.16311076231373772	0.014978795506442431	222	3.3252926024302196						47	-0.21741784224759234	0.011003302962136993	136.0	1.496449202850631	25	-0.11382079312509426	0.02732139842999581	376.0	10.272845809678424	121	0.16678890758485215	0.031215699156449204	167.0	5.213021759127017											221	0.1932374050710072	0.036033119803938085	118.0	4.251908136864694																										203	0.18531572146159817	0.030778004910249318	136.0	4.185808667793907	233	-0.24101581199215252	0.016254045067576363	99.0	1.6091504616900598
12											272	0.16221585944285594	0.015547707755678748	222	3.451591121760682						183	-0.21641376602633416	0.01138790888330763	136.0	1.5487556081298377	225	0.11329930513211588	0.028040595658710695	376.0	10.543263967675221	221	-0.1661632657475152	0.03186367264101126	167.0	5.32123333104888											159	0.18689970334401415	0.04271030442624523	118.0	5.039815922296937																										235	-0.18362958945951924	0.032359960724288116	136.0	4.400954658503184	256	0.24089859742939068	0.016307659784094753	99.0	1.6144583186253805
13											112	-0.16127867477353353	0.01616365517523113	222	3.588331448901311						66	0.2098806432519192	0.014190877988347167	136.0	1.9299594064152148	20	-0.11213224214559431	0.029709217052822097	376.0	11.170665611861109	27	-0.1661516911160579	0.03187576726111448	167.0	5.323253132606117																																									185	0.1748691017306307	0.041730230707169254	136.0	5.675311376175019	41	0.23976055890099293	0.01683620822548449	99.0	1.6667846143229645
14											178	0.16127064114026007	0.016169025910285552	222	3.5895237520833927						134	0.20918422773103962	0.014522513106720888	136.0	1.9750617825140409	300	-0.11174549660243979	0.030280612229007936	376.0	11.385510198106983	250	-0.16402066233245627	0.0341699991394901	167.0	5.706389856294846																																									294	0.1744366105479018	0.042246301824521666	136.0	5.745497048134947	265	0.23907812297201475	0.017160205177885687	99.0	1.698860312610683
15											66	0.1608446484430305	0.016456055712272294	222	3.653244368124449						292	0.20632755948263973	0.015954572909397387	136.0	2.1698219156780447	19	0.11152714678454816	0.030607346512911065	376.0	11.50836228885456	113	-0.1630053555044222	0.03531133230990588	167.0	5.896992495754282																																														131	-0.23750934417714029	0.017925486552388854	99.0	1.7746231686864966
16											280	-0.1595851441477967	0.017330853135257	222	3.847449396027054						70	0.2031165597287625	0.01770936500661323	136.0	2.408473640899399	203	0.11105219154325127	0.03132848704176674	376.0	11.779511127704293	214	0.16261045258823875	0.035763878764912514	167.0	5.97256775374039																																														263	-0.23498363833275643	0.01921941549977436	99.0	1.9027221344776617
17											210	0.15849832886754928	0.01811798779185089	222	4.022193289790898						222	-0.2014042872657323	0.01871173434231166	136.0	2.5447958705543856	291	0.11096454409580905	0.03146313990344965	376.0	11.830140603697068	77	0.16224365560430518	0.03618859774462298	167.0	6.043495823352037																																														215	-0.23414213373298026	0.01966800451365084	99.0	1.947132446851433
18											181	0.15706515951181835	0.019203387932054283	222	4.263152120916051						141	0.1997640155168421	0.019717603702127297	136.0	2.6815941034893123	108	-0.11042877509377613	0.032297037236461365	376.0	12.143686000909474	135	0.16214611901126436	0.03630225103003996	167.0	6.062475922016673																																														103	0.23341181452177875	0.020064590109837074	99.0	1.9863944208738702
